,State_Territory,CoC Number,CoC Name,Count Types,Year,Overall Homeless,Overall Homeless Individuals,Overall Chronically Homeless,Sheltered Total Chronically Homeless,Unsheltered Chronically Homeless,Overall Homeless - Female,Overall Homeless - Male,Overall Homeless - Transgender,Overall Homeless - Gender that is not Singularly Female or Male,Overall Homeless - Non-Hispanic/Non-Latin(o)(a)(x),Overall Homeless - Hispanic/Latin(o)(a)(x),Overall Homeless - White,"Overall Homeless - Black, African American, or African",Overall Homeless - Asian or Asian American,"Overall Homeless - American Indian, Alaska Native, or Indigenous",Overall Homeless - Native Hawaiian or Other Pacific Islander,Overall Homeless - Multiple Races,Overall Homeless - Under 18,Overall Homeless - Age 18 to 24,Overall Homeless - Over 24,Sheltered Total Homeless - Male,Sheltered Total Homeless - Transgender,Sheltered Total Homeless - Gender that is not Singularly Female or Male,Sheltered Total Homeless - Non-Hispanic/Non-Latin(o)(a)(x),Sheltered Total Homeless - Hispanic/Latin(o)(a)(x),Sheltered Total Homeless - White,"Sheltered Total Homeless - Black, African American, or African",Sheltered Total Homeless - Asian or Asian American,"Sheltered Total Homeless - American Indian, Alaska Native, or Indigenous",Sheltered Total Homeless - Native Hawaiian or Other Pacific Islander,Sheltered Total Homeless - Multiple Races,Sheltered Total Homeless - Under 18,Sheltered Total Homeless - Age 18 to 24,Sheltered Total Homeless - Over 24,Unsheltered Homeless - Female,Unsheltered Homeless - Male,Unsheltered Homeless - Transgender,Unsheltered Homeless - Gender that is not Singularly Female or Male,Unsheltered Homeless - Non-Hispanic/Non-Latin(o)(a)(x),Unsheltered Homeless - Hispanic/Latin(o)(a)(x),Unsheltered Homeless - White,"Unsheltered Homeless - Black, African American, or African",Unsheltered Homeless - Asian or Asian American,"Unsheltered Homeless - American Indian, Alaska Native, or Indigenous",Unsheltered Homeless - Native Hawaiian or Other Pacific Islander,Unsheltered Homeless - Multiple Races,Unsheltered Homeless - Under 18,Unsheltered Homeless - Age 18 to 24,Unsheltered Homeless - Over 24
970,Minnesota,MN-508,Moorhead/West Central Minnesota CoC,Sheltered and Unsheltered Count,2019,216.0,97.0,16.0,16.0,0.0,108.0,106.0,1.0,1.0,187.0,29.0,130.0,33.0,1.0,27.0,1.0,24.0,74.0,30.0,112.0,105.0,1.0,1.0,186.0,29.0,130.0,33.0,1.0,27.0,1.0,23.0,74.0,30.0,111.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
971,Minnesota,MN-509,Duluth/St.Louis County CoC,Sheltered and Unsheltered Count,2019,519.0,315.0,155.0,39.0,116.0,233.0,284.0,2.0,0.0,486.0,33.0,289.0,62.0,1.0,109.0,6.0,52.0,133.0,64.0,322.0,172.0,1.0,0.0,312.0,24.0,169.0,57.0,1.0,59.0,4.0,46.0,126.0,43.0,167.0,70.0,112.0,1.0,0.0,174.0,9.0,120.0,5.0,0.0,50.0,2.0,6.0,7.0,21.0,155.0
972,Minnesota,MN-511,Southwest Minnesota CoC,Sheltered and Unsheltered Count,2019,88.0,30.0,8.0,8.0,0.0,45.0,42.0,0.0,1.0,65.0,23.0,51.0,26.0,2.0,2.0,0.0,7.0,35.0,16.0,37.0,39.0,0.0,0.0,60.0,22.0,46.0,26.0,2.0,2.0,0.0,6.0,35.0,15.0,32.0,2.0,3.0,0.0,1.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0
973,Missouri,MO-500,St. Louis County CoC,Sheltered and Unsheltered Count,2019,487.0,281.0,43.0,37.0,6.0,275.0,205.0,7.0,0.0,472.0,15.0,96.0,367.0,4.0,1.0,1.0,18.0,149.0,146.0,192.0,184.0,7.0,0.0,445.0,15.0,80.0,356.0,4.0,1.0,1.0,18.0,148.0,144.0,168.0,6.0,21.0,0.0,0.0,27.0,0.0,16.0,11.0,0.0,0.0,0.0,0.0,1.0,2.0,24.0
974,Missouri,MO-501,St.Louis City CoC,Sheltered and Unsheltered Count,2019,1031.0,746.0,191.0,184.0,7.0,332.0,693.0,3.0,3.0,1006.0,25.0,220.0,760.0,8.0,6.0,4.0,33.0,179.0,78.0,774.0,647.0,3.0,3.0,955.0,23.0,209.0,720.0,8.0,5.0,4.0,32.0,179.0,75.0,724.0,7.0,46.0,0.0,0.0,51.0,2.0,11.0,40.0,0.0,1.0,0.0,1.0,0.0,3.0,50.0
975,Missouri,MO-503,"St. Charles City & County, Lincoln, Warren Counties CoC",Sheltered and Unsheltered Count,2019,438.0,237.0,29.0,18.0,11.0,206.0,230.0,2.0,0.0,423.0,15.0,305.0,105.0,0.0,8.0,0.0,20.0,97.0,44.0,297.0,156.0,0.0,0.0,302.0,9.0,210.0,84.0,0.0,6.0,0.0,11.0,83.0,26.0,202.0,51.0,74.0,2.0,0.0,121.0,6.0,95.0,21.0,0.0,2.0,0.0,9.0,14.0,18.0,95.0
976,Missouri,MO-600,"Springfield/Greene, Christian, Webster Counties CoC",Sheltered and Unsheltered Count,2019,492.0,335.0,121.0,87.0,34.0,219.0,270.0,2.0,1.0,456.0,36.0,372.0,66.0,5.0,14.0,2.0,33.0,105.0,46.0,341.0,211.0,2.0,1.0,385.0,26.0,306.0,60.0,5.0,10.0,2.0,28.0,103.0,36.0,272.0,22.0,59.0,0.0,0.0,71.0,10.0,66.0,6.0,0.0,4.0,0.0,5.0,2.0,10.0,69.0
977,Missouri,MO-602,"Joplin/Jasper, Newton Counties CoC",Sheltered and Unsheltered Count,2019,237.0,188.0,32.0,19.0,13.0,75.0,161.0,0.0,1.0,232.0,5.0,212.0,15.0,0.0,3.0,0.0,7.0,35.0,8.0,194.0,129.0,0.0,0.0,184.0,4.0,170.0,13.0,0.0,2.0,0.0,3.0,34.0,7.0,147.0,16.0,32.0,0.0,1.0,48.0,1.0,42.0,2.0,0.0,1.0,0.0,4.0,1.0,1.0,47.0
978,Missouri,MO-603,"St. Joseph/Andrew, Buchanan, DeKalb Counties CoC",Sheltered and Unsheltered Count,2019,255.0,169.0,92.0,70.0,22.0,121.0,134.0,0.0,0.0,241.0,14.0,187.0,33.0,1.0,9.0,4.0,21.0,55.0,16.0,184.0,111.0,0.0,0.0,204.0,14.0,152.0,32.0,1.0,9.0,4.0,20.0,53.0,14.0,151.0,14.0,23.0,0.0,0.0,37.0,0.0,35.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,33.0
979,Missouri,MO-604a,"Kansas City, Independence, Lee’s Summit/Jackson, Wyandotte Counties, MO & KS",Sheltered and Unsheltered Count,2019,1979.0,1392.0,337.0,166.0,171.0,791.0,1179.0,3.0,6.0,1851.0,128.0,849.0,965.0,6.0,16.0,10.0,133.0,448.0,89.0,1442.0,940.0,1.0,2.0,1563.0,96.0,669.0,855.0,6.0,11.0,10.0,108.0,439.0,75.0,1145.0,75.0,239.0,2.0,4.0,288.0,32.0,180.0,110.0,0.0,5.0,0.0,25.0,9.0,14.0,297.0
980,Missouri,MO-606,Missouri Balance of State CoC,Sheltered and Unsheltered Count,2019,1362.0,916.0,272.0,164.0,108.0,704.0,651.0,4.0,3.0,1282.0,80.0,987.0,284.0,5.0,17.0,4.0,65.0,298.0,123.0,941.0,417.0,3.0,3.0,944.0,59.0,684.0,253.0,4.0,7.0,2.0,53.0,274.0,102.0,627.0,124.0,234.0,1.0,0.0,338.0,21.0,303.0,31.0,1.0,10.0,2.0,12.0,24.0,21.0,314.0
981,Northern Mariana Islands,MP-500,Northern Mariana Islands CoC,Sheltered and Unsheltered Count,2019,1807.0,423.0,42.0,18.0,24.0,837.0,970.0,0.0,0.0,1807.0,0.0,1.0,1.0,494.0,0.0,1281.0,30.0,586.0,191.0,1030.0,17.0,0.0,0.0,20.0,0.0,0.0,0.0,17.0,0.0,3.0,0.0,1.0,2.0,17.0,834.0,953.0,0.0,0.0,1787.0,0.0,1.0,1.0,477.0,0.0,1278.0,30.0,585.0,189.0,1013.0
982,Mississippi,MS-500,"Jackson/Rankin, Madison Counties CoC",Sheltered and Unsheltered Count,2019,408.0,346.0,173.0,67.0,106.0,124.0,269.0,0.0,15.0,407.0,1.0,142.0,249.0,0.0,0.0,0.0,17.0,47.0,19.0,342.0,184.0,0.0,15.0,301.0,1.0,101.0,193.0,0.0,0.0,0.0,8.0,47.0,10.0,245.0,21.0,85.0,0.0,0.0,106.0,0.0,41.0,56.0,0.0,0.0,0.0,9.0,0.0,9.0,97.0
983,Mississippi,MS-501,Mississippi Balance of State CoC,Sheltered and Unsheltered Count,2019,480.0,380.0,31.0,2.0,29.0,181.0,299.0,0.0,0.0,458.0,22.0,220.0,250.0,0.0,1.0,0.0,9.0,67.0,30.0,383.0,155.0,0.0,0.0,273.0,18.0,129.0,158.0,0.0,1.0,0.0,3.0,66.0,22.0,203.0,45.0,144.0,0.0,0.0,185.0,4.0,91.0,92.0,0.0,0.0,0.0,6.0,1.0,8.0,180.0
984,Mississippi,MS-503,Gulf Port/Gulf Coast Regional CoC,Sheltered and Unsheltered Count,2019,296.0,237.0,19.0,2.0,17.0,112.0,184.0,0.0,0.0,291.0,5.0,199.0,75.0,6.0,5.0,1.0,10.0,38.0,6.0,252.0,40.0,0.0,0.0,103.0,2.0,69.0,30.0,0.0,0.0,0.0,6.0,38.0,3.0,64.0,47.0,144.0,0.0,0.0,188.0,3.0,130.0,45.0,6.0,5.0,1.0,4.0,0.0,3.0,188.0
985,Montana,MT-500,Montana Statewide CoC,Sheltered and Unsheltered Count,2019,1357.0,947.0,228.0,133.0,95.0,555.0,793.0,4.0,5.0,1211.0,146.0,905.0,36.0,8.0,234.0,12.0,162.0,250.0,111.0,996.0,571.0,4.0,2.0,894.0,118.0,667.0,29.0,4.0,175.0,7.0,130.0,221.0,80.0,711.0,120.0,222.0,0.0,3.0,317.0,28.0,238.0,7.0,4.0,59.0,5.0,32.0,29.0,31.0,285.0
986,North Carolina,NC-500,Winston-Salem/Forsyth County CoC,Sheltered and Unsheltered Count,2019,454.0,380.0,78.0,73.0,5.0,105.0,349.0,0.0,0.0,434.0,20.0,160.0,279.0,0.0,3.0,0.0,12.0,47.0,31.0,376.0,330.0,0.0,0.0,411.0,19.0,153.0,262.0,0.0,3.0,0.0,12.0,47.0,28.0,355.0,5.0,19.0,0.0,0.0,23.0,1.0,7.0,17.0,0.0,0.0,0.0,0.0,0.0,3.0,21.0
987,North Carolina,NC-501,Asheville/Buncombe County CoC,Sheltered and Unsheltered Count,2019,580.0,539.0,123.0,83.0,40.0,149.0,428.0,0.0,3.0,568.0,12.0,364.0,165.0,0.0,8.0,0.0,43.0,29.0,27.0,524.0,378.0,0.0,1.0,491.0,11.0,305.0,155.0,0.0,7.0,0.0,35.0,26.0,13.0,463.0,26.0,50.0,0.0,2.0,77.0,1.0,59.0,10.0,0.0,1.0,0.0,8.0,3.0,14.0,61.0
988,North Carolina,NC-502,Durham City & County CoC,Sheltered and Unsheltered Count,2019,361.0,252.0,82.0,61.0,21.0,111.0,250.0,0.0,0.0,349.0,12.0,68.0,276.0,0.0,3.0,2.0,12.0,69.0,21.0,271.0,186.0,0.0,0.0,272.0,8.0,47.0,220.0,0.0,2.0,1.0,10.0,67.0,17.0,196.0,17.0,64.0,0.0,0.0,77.0,4.0,21.0,56.0,0.0,1.0,1.0,2.0,2.0,4.0,75.0
989,North Carolina,NC-503,North Carolina Balance of State CoC,Sheltered and Unsheltered Count,2019,2989.0,2213.0,299.0,174.0,125.0,1257.0,1727.0,2.0,3.0,2868.0,121.0,1696.0,1112.0,12.0,47.0,7.0,115.0,464.0,206.0,2319.0,1181.0,0.0,1.0,2053.0,86.0,1138.0,861.0,12.0,26.0,6.0,96.0,418.0,162.0,1559.0,300.0,546.0,2.0,2.0,815.0,35.0,558.0,251.0,0.0,21.0,1.0,19.0,46.0,44.0,760.0
990,North Carolina,NC-504,"Greensboro, High Point CoC",Sheltered and Unsheltered Count,2019,586.0,460.0,44.0,40.0,4.0,173.0,413.0,0.0,0.0,563.0,23.0,126.0,420.0,1.0,5.0,0.0,34.0,93.0,25.0,468.0,366.0,0.0,0.0,504.0,21.0,92.0,401.0,0.0,3.0,0.0,29.0,93.0,24.0,408.0,14.0,47.0,0.0,0.0,59.0,2.0,34.0,19.0,1.0,2.0,0.0,5.0,0.0,1.0,60.0
991,North Carolina,NC-505,Charlotte/Mecklenberg CoC,Sheltered and Unsheltered Count,2019,1742.0,1223.0,247.0,174.0,73.0,730.0,1007.0,4.0,1.0,1675.0,67.0,286.0,1402.0,8.0,8.0,5.0,33.0,342.0,85.0,1315.0,857.0,4.0,0.0,1491.0,55.0,230.0,1270.0,8.0,5.0,3.0,30.0,342.0,71.0,1133.0,45.0,150.0,0.0,1.0,184.0,12.0,56.0,132.0,0.0,3.0,2.0,3.0,0.0,14.0,182.0
992,North Carolina,NC-506,"Wilmington/Brunswick, New Hanover, Pender Counties CoC",Sheltered and Unsheltered Count,2019,431.0,342.0,49.0,23.0,26.0,154.0,276.0,1.0,0.0,404.0,27.0,272.0,134.0,0.0,3.0,2.0,20.0,60.0,17.0,354.0,144.0,0.0,0.0,255.0,14.0,140.0,106.0,0.0,1.0,2.0,20.0,58.0,13.0,198.0,29.0,132.0,1.0,0.0,149.0,13.0,132.0,28.0,0.0,2.0,0.0,0.0,2.0,4.0,156.0
993,North Carolina,NC-507,Raleigh/Wake County CoC,Sheltered and Unsheltered Count,2019,970.0,680.0,126.0,65.0,61.0,358.0,604.0,5.0,3.0,926.0,44.0,289.0,623.0,6.0,8.0,1.0,43.0,193.0,47.0,730.0,449.0,3.0,0.0,704.0,30.0,160.0,539.0,6.0,5.0,1.0,23.0,180.0,35.0,519.0,76.0,155.0,2.0,3.0,222.0,14.0,129.0,84.0,0.0,3.0,0.0,20.0,13.0,12.0,211.0
994,North Carolina,NC-509,"Gastonia/Cleveland, Gaston, Lincoln Counties CoC",Sheltered and Unsheltered Count,2019,324.0,236.0,60.0,27.0,33.0,146.0,178.0,0.0,0.0,315.0,9.0,221.0,92.0,0.0,0.0,0.0,11.0,59.0,19.0,246.0,123.0,0.0,0.0,246.0,6.0,165.0,80.0,0.0,0.0,0.0,7.0,56.0,17.0,179.0,17.0,55.0,0.0,0.0,69.0,3.0,56.0,12.0,0.0,0.0,0.0,4.0,3.0,2.0,67.0
995,North Carolina,NC-511,Fayetteville/Cumberland County CoC,Sheltered and Unsheltered Count,2019,329.0,222.0,122.0,2.0,120.0,136.0,193.0,0.0,0.0,310.0,19.0,104.0,205.0,0.0,9.0,2.0,9.0,70.0,10.0,249.0,37.0,0.0,0.0,95.0,8.0,22.0,74.0,0.0,3.0,0.0,4.0,60.0,5.0,38.0,70.0,156.0,0.0,0.0,215.0,11.0,82.0,131.0,0.0,6.0,2.0,5.0,10.0,5.0,211.0
996,North Carolina,NC-513,Chapel Hill/Orange County CoC,Sheltered and Unsheltered Count,2019,131.0,103.0,24.0,8.0,16.0,42.0,89.0,0.0,0.0,126.0,5.0,50.0,67.0,3.0,0.0,0.0,11.0,17.0,1.0,113.0,69.0,0.0,0.0,97.0,5.0,42.0,49.0,1.0,0.0,0.0,10.0,16.0,1.0,85.0,9.0,20.0,0.0,0.0,29.0,0.0,8.0,18.0,2.0,0.0,0.0,1.0,1.0,0.0,28.0
997,North Carolina,NC-516,Northwest North Carolina CoC,Sheltered and Unsheltered Count,2019,417.0,217.0,17.0,6.0,11.0,215.0,202.0,0.0,0.0,365.0,52.0,356.0,57.0,1.0,0.0,0.0,3.0,110.0,43.0,264.0,80.0,0.0,0.0,154.0,10.0,135.0,26.0,0.0,0.0,0.0,3.0,33.0,23.0,108.0,131.0,122.0,0.0,0.0,211.0,42.0,221.0,31.0,1.0,0.0,0.0,0.0,77.0,20.0,156.0
998,North Dakota,ND-500,North Dakota Statewide CoC,Sheltered and Unsheltered Count,2019,557.0,377.0,73.0,73.0,0.0,178.0,378.0,1.0,0.0,475.0,82.0,322.0,90.0,1.0,101.0,7.0,36.0,127.0,74.0,356.0,372.0,1.0,0.0,463.0,82.0,313.0,87.0,1.0,101.0,7.0,36.0,123.0,74.0,348.0,6.0,6.0,0.0,0.0,12.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,8.0
999,Nebraska,NE-500,Nebraska Balance of State CoC,Sheltered and Unsheltered Count,2019,506.0,306.0,11.0,7.0,4.0,233.0,271.0,1.0,1.0,407.0,99.0,438.0,26.0,1.0,23.0,1.0,17.0,123.0,56.0,327.0,259.0,1.0,1.0,391.0,95.0,426.0,26.0,1.0,18.0,1.0,14.0,122.0,56.0,308.0,8.0,12.0,0.0,0.0,16.0,4.0,12.0,0.0,0.0,5.0,0.0,3.0,1.0,0.0,19.0
1000,Nebraska,NE-501,"Omaha, Council Bluffs CoC",Sheltered and Unsheltered Count,2019,1410.0,1130.0,343.0,328.0,15.0,436.0,972.0,2.0,0.0,1283.0,127.0,892.0,385.0,9.0,31.0,3.0,90.0,182.0,86.0,1142.0,946.0,2.0,0.0,1238.0,126.0,857.0,376.0,9.0,30.0,3.0,89.0,182.0,82.0,1100.0,20.0,26.0,0.0,0.0,45.0,1.0,35.0,9.0,0.0,1.0,0.0,1.0,0.0,4.0,42.0
1001,Nebraska,NE-502,Lincoln CoC,Sheltered and Unsheltered Count,2019,449.0,279.0,100.0,78.0,22.0,197.0,251.0,1.0,0.0,414.0,35.0,250.0,135.0,3.0,19.0,0.0,42.0,118.0,43.0,288.0,214.0,1.0,0.0,372.0,33.0,220.0,129.0,3.0,17.0,0.0,36.0,118.0,34.0,253.0,7.0,37.0,0.0,0.0,42.0,2.0,30.0,6.0,0.0,2.0,0.0,6.0,0.0,9.0,35.0
1002,New Hampshire,NH-500,New Hampshire Balance of State CoC,Sheltered and Unsheltered Count,2019,669.0,409.0,167.0,118.0,49.0,309.0,351.0,1.0,8.0,624.0,45.0,580.0,29.0,2.0,1.0,3.0,54.0,155.0,62.0,452.0,292.0,1.0,8.0,533.0,41.0,491.0,28.0,2.0,1.0,2.0,50.0,149.0,52.0,373.0,36.0,59.0,0.0,0.0,91.0,4.0,89.0,1.0,0.0,0.0,1.0,4.0,6.0,10.0,79.0
1003,New Hampshire,NH-501,Manchester CoC,Sheltered and Unsheltered Count,2019,461.0,274.0,37.0,25.0,12.0,207.0,251.0,2.0,1.0,399.0,62.0,366.0,48.0,2.0,3.0,2.0,40.0,113.0,43.0,305.0,212.0,2.0,0.0,353.0,57.0,323.0,42.0,2.0,3.0,2.0,38.0,112.0,35.0,263.0,11.0,39.0,0.0,1.0,46.0,5.0,43.0,6.0,0.0,0.0,0.0,2.0,1.0,8.0,42.0
1004,New Hampshire,NH-502,Nashua/Hillsborough County CoC,Sheltered and Unsheltered Count,2019,266.0,129.0,14.0,13.0,1.0,110.0,156.0,0.0,0.0,208.0,58.0,226.0,23.0,5.0,1.0,1.0,10.0,84.0,12.0,170.0,155.0,0.0,0.0,205.0,58.0,224.0,22.0,5.0,1.0,1.0,10.0,84.0,12.0,167.0,2.0,1.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
1005,New Jersey,NJ-500,Atlantic City & County CoC,Sheltered and Unsheltered Count,2019,357.0,328.0,73.0,53.0,20.0,98.0,259.0,0.0,0.0,308.0,49.0,165.0,168.0,8.0,4.0,2.0,10.0,18.0,37.0,302.0,189.0,0.0,0.0,230.0,31.0,127.0,117.0,3.0,3.0,1.0,10.0,18.0,35.0,208.0,26.0,70.0,0.0,0.0,78.0,18.0,38.0,51.0,5.0,1.0,1.0,0.0,0.0,2.0,94.0
1006,New Jersey,NJ-501,Bergen County CoC,Sheltered and Unsheltered Count,2019,271.0,177.0,11.0,9.0,2.0,128.0,142.0,1.0,0.0,196.0,75.0,160.0,92.0,10.0,3.0,1.0,5.0,67.0,19.0,185.0,139.0,1.0,0.0,192.0,75.0,157.0,91.0,10.0,3.0,1.0,5.0,67.0,19.0,181.0,1.0,3.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
1007,New Jersey,NJ-502,Burlington County CoC,Sheltered and Unsheltered Count,2019,518.0,239.0,36.0,36.0,0.0,261.0,256.0,1.0,0.0,470.0,48.0,184.0,289.0,3.0,2.0,4.0,36.0,172.0,35.0,311.0,238.0,1.0,0.0,450.0,45.0,171.0,280.0,2.0,2.0,4.0,36.0,172.0,34.0,289.0,5.0,18.0,0.0,0.0,20.0,3.0,13.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,22.0
1008,New Jersey,NJ-503,"Camden City & County/Gloucester, Cape May, Cumberland Counties CoC",Sheltered and Unsheltered Count,2019,979.0,781.0,230.0,109.0,121.0,355.0,622.0,2.0,0.0,842.0,137.0,467.0,480.0,2.0,6.0,8.0,16.0,124.0,70.0,785.0,466.0,1.0,0.0,652.0,108.0,351.0,378.0,2.0,6.0,8.0,15.0,124.0,52.0,584.0,62.0,156.0,1.0,0.0,190.0,29.0,116.0,102.0,0.0,0.0,0.0,1.0,0.0,18.0,201.0
1009,New Jersey,NJ-504,Newark/Essex County CoC,Sheltered and Unsheltered Count,2019,2235.0,1360.0,271.0,103.0,168.0,949.0,1277.0,8.0,1.0,1897.0,338.0,391.0,1787.0,2.0,26.0,16.0,13.0,525.0,209.0,1501.0,1030.0,6.0,1.0,1599.0,298.0,332.0,1510.0,1.0,26.0,16.0,12.0,517.0,193.0,1187.0,89.0,247.0,2.0,0.0,298.0,40.0,59.0,277.0,1.0,0.0,0.0,1.0,8.0,16.0,314.0
1010,New Jersey,NJ-506,"Jersey City, Bayonne/Hudson County CoC",Sheltered and Unsheltered Count,2019,890.0,722.0,226.0,85.0,141.0,286.0,603.0,1.0,0.0,598.0,292.0,387.0,480.0,11.0,5.0,1.0,6.0,98.0,41.0,751.0,416.0,1.0,0.0,389.0,234.0,281.0,323.0,10.0,4.0,0.0,5.0,97.0,31.0,495.0,80.0,187.0,0.0,0.0,209.0,58.0,106.0,157.0,1.0,1.0,1.0,1.0,1.0,10.0,256.0
1011,New Jersey,NJ-507,New Brunswick/Middlesex County CoC,Sheltered and Unsheltered Count,2019,620.0,361.0,131.0,74.0,57.0,253.0,367.0,0.0,0.0,384.0,236.0,299.0,274.0,4.0,4.0,2.0,37.0,158.0,47.0,415.0,256.0,0.0,0.0,297.0,188.0,226.0,214.0,3.0,4.0,1.0,37.0,158.0,41.0,286.0,24.0,111.0,0.0,0.0,87.0,48.0,73.0,60.0,1.0,0.0,1.0,0.0,0.0,6.0,129.0
1012,New Jersey,NJ-508,Monmouth County CoC,Sheltered and Unsheltered Count,2019,359.0,208.0,58.0,24.0,34.0,145.0,214.0,0.0,0.0,270.0,89.0,190.0,149.0,1.0,1.0,2.0,16.0,94.0,26.0,239.0,182.0,0.0,0.0,224.0,81.0,145.0,140.0,1.0,1.0,2.0,16.0,93.0,25.0,187.0,22.0,32.0,0.0,0.0,46.0,8.0,45.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,52.0
1013,New Jersey,NJ-509,Morris County CoC,Sheltered and Unsheltered Count,2019,388.0,244.0,65.0,33.0,32.0,149.0,238.0,1.0,0.0,326.0,62.0,282.0,90.0,3.0,4.0,0.0,9.0,88.0,34.0,266.0,203.0,1.0,0.0,289.0,57.0,246.0,84.0,3.0,4.0,0.0,9.0,88.0,29.0,229.0,7.0,35.0,0.0,0.0,37.0,5.0,36.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,37.0
1014,New Jersey,NJ-510,Lakewood Township/Ocean County CoC,Sheltered and Unsheltered Count,2019,305.0,179.0,38.0,27.0,11.0,138.0,164.0,2.0,1.0,253.0,52.0,201.0,86.0,0.0,2.0,2.0,14.0,77.0,41.0,187.0,142.0,2.0,1.0,225.0,50.0,177.0,81.0,0.0,1.0,2.0,14.0,76.0,41.0,158.0,8.0,22.0,0.0,0.0,28.0,2.0,24.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,29.0
1015,New Jersey,NJ-511,Paterson/Passaic County CoC,Sheltered and Unsheltered Count,2019,391.0,287.0,93.0,46.0,47.0,168.0,222.0,1.0,0.0,262.0,129.0,179.0,181.0,3.0,8.0,12.0,8.0,64.0,25.0,302.0,134.0,0.0,0.0,189.0,85.0,112.0,132.0,2.0,8.0,12.0,8.0,64.0,24.0,186.0,28.0,88.0,1.0,0.0,73.0,44.0,67.0,49.0,1.0,0.0,0.0,0.0,0.0,1.0,116.0
1016,New Jersey,NJ-512,Salem County CoC,Sheltered and Unsheltered Count,2019,29.0,8.0,1.0,1.0,0.0,16.0,13.0,0.0,0.0,22.0,7.0,7.0,22.0,0.0,0.0,0.0,0.0,14.0,0.0,15.0,13.0,0.0,0.0,22.0,7.0,7.0,22.0,0.0,0.0,0.0,0.0,14.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1017,New Jersey,NJ-513,Somerset County CoC,Sheltered and Unsheltered Count,2019,301.0,197.0,7.0,6.0,1.0,131.0,170.0,0.0,0.0,261.0,40.0,139.0,141.0,9.0,0.0,0.0,12.0,75.0,38.0,188.0,167.0,0.0,0.0,256.0,39.0,137.0,137.0,9.0,0.0,0.0,12.0,75.0,38.0,182.0,3.0,3.0,0.0,0.0,5.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
1018,New Jersey,NJ-514,Trenton/Mercer County CoC,Sheltered and Unsheltered Count,2019,448.0,324.0,70.0,31.0,39.0,140.0,308.0,0.0,0.0,352.0,96.0,146.0,287.0,3.0,3.0,1.0,8.0,78.0,30.0,340.0,241.0,0.0,0.0,297.0,67.0,109.0,242.0,2.0,2.0,1.0,8.0,76.0,29.0,259.0,17.0,67.0,0.0,0.0,55.0,29.0,37.0,45.0,1.0,1.0,0.0,0.0,2.0,1.0,81.0
1019,New Jersey,NJ-515,Elizabeth/Union County CoC,Sheltered and Unsheltered Count,2019,437.0,240.0,68.0,53.0,15.0,208.0,229.0,0.0,0.0,325.0,112.0,104.0,306.0,4.0,7.0,0.0,16.0,121.0,38.0,278.0,198.0,0.0,0.0,296.0,102.0,93.0,279.0,3.0,7.0,0.0,16.0,121.0,35.0,242.0,8.0,31.0,0.0,0.0,29.0,10.0,11.0,27.0,1.0,0.0,0.0,0.0,0.0,3.0,36.0
1020,New Jersey,NJ-516,"Warren, Sussex, Hunterdon Counties CoC",Sheltered and Unsheltered Count,2019,334.0,240.0,41.0,36.0,5.0,154.0,180.0,0.0,0.0,305.0,29.0,244.0,81.0,2.0,2.0,0.0,5.0,58.0,24.0,252.0,165.0,0.0,0.0,277.0,29.0,217.0,80.0,2.0,2.0,0.0,5.0,58.0,21.0,227.0,13.0,15.0,0.0,0.0,28.0,0.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,25.0
1021,New Mexico,NM-500,Albuquerque CoC,Sheltered-Only Count,2019,1524.0,1224.0,590.0,255.0,335.0,503.0,1005.0,14.0,2.0,898.0,626.0,941.0,108.0,15.0,386.0,15.0,59.0,207.0,99.0,1218.0,616.0,1.0,2.0,559.0,398.0,662.0,77.0,8.0,160.0,3.0,47.0,196.0,50.0,711.0,165.0,389.0,13.0,0.0,339.0,228.0,279.0,31.0,7.0,226.0,12.0,12.0,11.0,49.0,507.0
1022,New Mexico,NM-501,New Mexico Balance of State CoC,Sheltered-Only Count,2019,1717.0,1240.0,865.0,523.0,342.0,775.0,925.0,5.0,12.0,981.0,736.0,901.0,84.0,2.0,456.0,12.0,262.0,308.0,118.0,1291.0,460.0,1.0,0.0,579.0,446.0,432.0,54.0,2.0,296.0,0.0,241.0,282.0,54.0,689.0,211.0,465.0,4.0,12.0,402.0,290.0,469.0,30.0,0.0,160.0,12.0,21.0,26.0,64.0,602.0
