CoC Number,CoC Name,Count Types,Overall Homeless,Sheltered ES Homeless,Sheltered TH Homeless,Sheltered SH Homeless,Sheltered Total Homeless,Unsheltered Homeless,Overall Homeless Individuals,Overall Homeless Individuals - Under 18,Sheltered ES Homeless Individuals,Sheltered ES Homeless Individuals - Under 18,Sheltered TH Homeless Individuals,Sheltered TH Homeless Individuals - Under 18,Sheltered SH Homeless Individuals,Sheltered Total Homeless Individuals,Sheltered Total Homeless Individuals - Under 18,Unsheltered Homeless Individuals,Unsheltered Homeless Individuals - Under 18,Overall Homeless People in Families,Sheltered ES Homeless People in Families,Sheltered TH Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Overall Homeless Family Households,Sheltered ES Homeless Family Households,Sheltered TH Homeless Family Households,Sheltered Total Homeless Family Households,Unsheltered Homeless Family Households,Overall Chronically Homeless,Sheltered ES Chronically Homeless,Sheltered SH Chronically Homeless,Sheltered Total Chronically Homeless,Unsheltered Chronically Homeless,Overall Chronically Homeless Individuals,Sheltered ES Chronically Homeless Individuals,Sheltered SH Chronically Homeless Individuals,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Overall Chronically Homeless People in Families,Sheltered ES Chronically Homeless People in Families,Sheltered Total Chronically Homeless People in Families,Unsheltered Chronically Homeless People in Families,Overall Homeless Veterans,Sheltered Total Homeless Veterans,Unsheltered Homeless Veterans,Year
CO-500,Colorado Balance of State CoC,Sheltered-Only Count,9283.0,631.0,384.0,0.0,1015.0,8268.0,1615.0,304.0,237.0,0.0,58.0,0.0,0.0,295.0,0.0,1320.0,304.0,7668.0,394.0,326.0,720.0,6948.0,1918.0,99.0,82.0,181.0,1737.0,729.0,31.0,0.0,31.0,698.0,729.0,31.0,0.0,31.0,698.0,0.0,0.0,0.0,0.0,572.0,77.0,495.0,2012
CO-503,Metropolitan Denver CoC,Sheltered and Unsheltered Count,6358.0,2441.0,2928.0,25.0,5394.0,964.0,2677.0,31.0,1349.0,15.0,640.0,14.0,25.0,2014.0,29.0,663.0,2.0,3681.0,1092.0,2288.0,3380.0,301.0,1081.0,315.0,683.0,998.0,83.0,957.0,630.0,25.0,655.0,302.0,631.0,342.0,25.0,367.0,264.0,326.0,288.0,288.0,38.0,710.0,601.0,109.0,2012
CO-504,Colorado Springs/El Paso County CoC,Sheltered and Unsheltered Count,1127.0,430.0,421.0,0.0,851.0,276.0,809.0,0.0,306.0,0.0,232.0,0.0,0.0,538.0,0.0,271.0,0.0,318.0,124.0,189.0,313.0,5.0,105.0,43.0,60.0,103.0,2.0,257.0,98.0,0.0,98.0,159.0,252.0,95.0,0.0,95.0,157.0,5.0,3.0,3.0,2.0,230.0,122.0,108.0,2012
CT-503,"Bridgeport, Stamford, Norwalk, Danbury/Fairfield County CoC",Sheltered-Only Count,902.0,469.0,272.0,0.0,741.0,161.0,587.0,0.0,310.0,0.0,128.0,0.0,0.0,438.0,0.0,149.0,0.0,315.0,159.0,144.0,303.0,12.0,107.0,52.0,50.0,102.0,5.0,199.0,126.0,0.0,126.0,73.0,196.0,123.0,0.0,123.0,73.0,3.0,3.0,3.0,0.0,80.0,66.0,14.0,2012
CT-505,Connecticut Balance of State CoC,Sheltered-Only Count,3307.0,1802.0,971.0,0.0,2773.0,534.0,2319.0,1.0,1267.0,1.0,547.0,0.0,0.0,1814.0,1.0,505.0,0.0,988.0,535.0,424.0,959.0,29.0,342.0,187.0,143.0,330.0,12.0,745.0,488.0,0.0,488.0,257.0,728.0,471.0,0.0,471.0,257.0,17.0,17.0,17.0,0.0,252.0,219.0,33.0,2012
DC-500,District of Columbia CoC,Sheltered and Unsheltered Count,6954.0,3772.0,2503.0,0.0,6275.0,679.0,3767.0,13.0,2166.0,10.0,922.0,3.0,0.0,3088.0,13.0,679.0,0.0,3187.0,1606.0,1581.0,3187.0,0.0,1014.0,511.0,503.0,1014.0,0.0,2315.0,1773.0,0.0,1773.0,542.0,1870.0,1328.0,0.0,1328.0,542.0,445.0,445.0,445.0,0.0,531.0,466.0,65.0,2012
DE-500,Delaware Statewide CoC,Sheltered-Only Count,1008.0,527.0,449.0,10.0,986.0,22.0,611.0,0.0,364.0,0.0,215.0,0.0,10.0,589.0,0.0,22.0,0.0,397.0,163.0,234.0,397.0,0.0,128.0,49.0,79.0,128.0,0.0,100.0,82.0,7.0,89.0,11.0,84.0,66.0,7.0,73.0,11.0,16.0,16.0,16.0,0.0,66.0,64.0,2.0,2012
FL-500,"Sarasota, Bradenton/Manatee, Sarasota Counties CoC",Sheltered-Only Count,921.0,369.0,295.0,0.0,664.0,257.0,733.0,31.0,302.0,8.0,197.0,22.0,0.0,499.0,30.0,234.0,1.0,188.0,67.0,98.0,165.0,23.0,67.0,16.0,43.0,59.0,8.0,151.0,1.0,0.0,1.0,150.0,76.0,1.0,0.0,1.0,75.0,75.0,0.0,0.0,75.0,96.0,55.0,41.0,2012
FL-501,Tampa/Hillsborough County CoC,Sheltered-Only Count,7419.0,377.0,575.0,20.0,972.0,6447.0,4515.0,182.0,285.0,5.0,319.0,0.0,20.0,624.0,5.0,3891.0,177.0,2904.0,92.0,256.0,348.0,2556.0,832.0,31.0,91.0,122.0,710.0,740.0,101.0,8.0,109.0,631.0,740.0,101.0,8.0,109.0,631.0,0.0,0.0,0.0,0.0,800.0,105.0,695.0,2012
FL-502,"St. Petersburg, Clearwater, Largo/Pinellas County CoC",Sheltered-Only Count,3971.0,1191.0,722.0,38.0,1951.0,2020.0,2922.0,113.0,1033.0,5.0,631.0,43.0,38.0,1702.0,48.0,1220.0,65.0,1049.0,158.0,91.0,249.0,800.0,279.0,50.0,30.0,80.0,199.0,437.0,103.0,31.0,134.0,303.0,429.0,103.0,31.0,134.0,295.0,8.0,0.0,0.0,8.0,468.0,350.0,118.0,2012
FL-503,"Lakeland, Winterhaven/Polk County CoC",Sheltered and Unsheltered Count,881.0,122.0,175.0,0.0,297.0,584.0,750.0,0.0,91.0,0.0,109.0,0.0,0.0,200.0,0.0,550.0,0.0,131.0,31.0,66.0,97.0,34.0,41.0,10.0,22.0,32.0,9.0,83.0,16.0,0.0,16.0,67.0,83.0,16.0,0.0,16.0,67.0,0.0,0.0,0.0,0.0,57.0,21.0,36.0,2012
FL-504,"Deltona, Daytona Beach/Volusia, Flagler Counties CoC",Sheltered and Unsheltered Count,2384.0,81.0,422.0,0.0,503.0,1881.0,2123.0,0.0,53.0,0.0,189.0,0.0,0.0,242.0,0.0,1881.0,0.0,261.0,28.0,233.0,261.0,0.0,80.0,8.0,72.0,80.0,0.0,289.0,1.0,0.0,1.0,288.0,289.0,1.0,0.0,1.0,288.0,0.0,0.0,0.0,0.0,83.0,33.0,50.0,2012
FL-505,"Fort Walton Beach/Okaloosa, Walton Counties CoC",Sheltered and Unsheltered Count,2438.0,271.0,239.0,0.0,510.0,1928.0,975.0,45.0,199.0,28.0,163.0,0.0,0.0,362.0,28.0,613.0,17.0,1463.0,72.0,76.0,148.0,1315.0,562.0,28.0,26.0,54.0,508.0,492.0,233.0,0.0,233.0,259.0,448.0,217.0,0.0,217.0,231.0,44.0,16.0,16.0,28.0,318.0,166.0,152.0,2012
FL-506,Tallahassee/Leon County CoC,Sheltered-Only Count,797.0,389.0,349.0,0.0,738.0,59.0,634.0,14.0,321.0,14.0,254.0,0.0,0.0,575.0,14.0,59.0,0.0,163.0,68.0,95.0,163.0,0.0,58.0,24.0,34.0,58.0,0.0,175.0,157.0,0.0,157.0,18.0,163.0,145.0,0.0,145.0,18.0,12.0,12.0,12.0,0.0,121.0,118.0,3.0,2012
FL-507,"Orlando/Orange, Osceola, Seminole Counties CoC",Sheltered and Unsheltered Count,3661.0,856.0,1345.0,17.0,2218.0,1443.0,2330.0,11.0,537.0,0.0,651.0,11.0,17.0,1205.0,11.0,1125.0,0.0,1331.0,319.0,694.0,1013.0,318.0,446.0,112.0,212.0,324.0,122.0,1030.0,257.0,17.0,274.0,756.0,988.0,240.0,17.0,257.0,731.0,42.0,17.0,17.0,25.0,574.0,229.0,345.0,2012
FL-508,"Gainesville/Alachua, Putnam Counties CoC",Sheltered and Unsheltered Count,1814.0,202.0,187.0,0.0,389.0,1425.0,1476.0,28.0,98.0,15.0,99.0,9.0,0.0,197.0,24.0,1279.0,4.0,338.0,104.0,88.0,192.0,146.0,85.0,22.0,21.0,43.0,42.0,692.0,210.0,0.0,210.0,482.0,510.0,109.0,0.0,109.0,401.0,182.0,101.0,101.0,81.0,263.0,133.0,130.0,2012
FL-509,"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",Sheltered and Unsheltered Count,1724.0,65.0,114.0,0.0,179.0,1545.0,917.0,8.0,16.0,6.0,10.0,0.0,0.0,26.0,6.0,891.0,2.0,807.0,49.0,104.0,153.0,654.0,272.0,15.0,40.0,55.0,217.0,182.0,10.0,0.0,10.0,172.0,96.0,5.0,0.0,5.0,91.0,86.0,5.0,5.0,81.0,74.0,8.0,66.0,2012
FL-510,"Jacksonville-Duval, Clay Counties CoC",Sheltered and Unsheltered Count,2861.0,842.0,700.0,0.0,1542.0,1319.0,2294.0,34.0,615.0,20.0,401.0,8.0,0.0,1016.0,28.0,1278.0,6.0,567.0,227.0,299.0,526.0,41.0,202.0,82.0,103.0,185.0,17.0,439.0,132.0,0.0,132.0,307.0,363.0,86.0,0.0,86.0,277.0,76.0,46.0,46.0,30.0,292.0,141.0,151.0,2012
FL-511,"Pensacola/Escambia, Santa Rosa Counties CoC",Sheltered and Unsheltered Count,792.0,171.0,355.0,0.0,526.0,266.0,667.0,6.0,126.0,0.0,282.0,5.0,0.0,408.0,5.0,259.0,1.0,125.0,45.0,73.0,118.0,7.0,42.0,14.0,25.0,39.0,3.0,232.0,31.0,0.0,31.0,201.0,213.0,29.0,0.0,29.0,184.0,19.0,2.0,2.0,17.0,104.0,62.0,42.0,2012
FL-512,St. Johns County CoC,Sheltered and Unsheltered Count,1385.0,64.0,120.0,0.0,184.0,1201.0,996.0,0.0,35.0,0.0,21.0,0.0,0.0,56.0,0.0,940.0,0.0,389.0,29.0,99.0,128.0,261.0,107.0,11.0,38.0,49.0,58.0,79.0,4.0,0.0,4.0,75.0,79.0,4.0,0.0,4.0,75.0,0.0,0.0,0.0,0.0,43.0,8.0,35.0,2012
FL-513,"Palm Bay, Melbourne/Brevard County CoC",Sheltered and Unsheltered Count,2062.0,242.0,501.0,0.0,743.0,1319.0,1386.0,190.0,76.0,11.0,214.0,52.0,0.0,290.0,63.0,1096.0,127.0,676.0,166.0,287.0,453.0,223.0,317.0,79.0,141.0,220.0,97.0,138.0,73.0,0.0,73.0,65.0,138.0,73.0,0.0,73.0,65.0,0.0,0.0,0.0,0.0,352.0,123.0,229.0,2012
FL-514,Ocala/Marion County CoC,Sheltered-Only Count,911.0,107.0,204.0,0.0,311.0,600.0,787.0,53.0,93.0,24.0,100.0,29.0,0.0,193.0,53.0,594.0,0.0,124.0,14.0,104.0,118.0,6.0,48.0,5.0,40.0,45.0,3.0,88.0,3.0,0.0,3.0,85.0,88.0,3.0,0.0,3.0,85.0,0.0,0.0,0.0,0.0,136.0,15.0,121.0,2012
FL-515,"Panama City/Bay, Jackson Counties CoC",Sheltered and Unsheltered Count,322.0,106.0,129.0,0.0,235.0,87.0,244.0,0.0,99.0,0.0,61.0,0.0,0.0,160.0,0.0,84.0,0.0,78.0,7.0,68.0,75.0,3.0,28.0,3.0,24.0,27.0,1.0,56.0,38.0,0.0,38.0,18.0,49.0,33.0,0.0,33.0,16.0,7.0,5.0,5.0,2.0,53.0,33.0,20.0,2012
FL-517,"Hendry, Hardee, Highlands Counties CoC",Sheltered-Only Count,1319.0,0.0,114.0,0.0,114.0,1205.0,559.0,22.0,0.0,0.0,114.0,22.0,0.0,114.0,22.0,445.0,0.0,760.0,0.0,0.0,0.0,760.0,376.0,0.0,0.0,0.0,376.0,412.0,0.0,0.0,0.0,412.0,206.0,0.0,0.0,0.0,206.0,206.0,0.0,0.0,206.0,10.0,0.0,10.0,2012
FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",Sheltered-Only Count,1180.0,48.0,36.0,0.0,84.0,1096.0,803.0,16.0,27.0,11.0,36.0,0.0,0.0,63.0,11.0,740.0,5.0,377.0,21.0,0.0,21.0,356.0,149.0,7.0,0.0,7.0,142.0,255.0,26.0,0.0,26.0,229.0,193.0,13.0,0.0,13.0,180.0,62.0,13.0,13.0,49.0,241.0,24.0,217.0,2012
FL-519,Pasco County CoC,Sheltered-Only Count,4351.0,147.0,45.0,0.0,192.0,4159.0,1308.0,137.0,96.0,12.0,45.0,0.0,0.0,141.0,12.0,1167.0,125.0,3043.0,51.0,0.0,51.0,2992.0,1222.0,25.0,0.0,25.0,1197.0,1540.0,82.0,0.0,82.0,1458.0,1097.0,55.0,0.0,55.0,1042.0,443.0,27.0,27.0,416.0,98.0,23.0,75.0,2012
FL-520,"Citrus, Hernando, Lake, Sumter Counties CoC",Sheltered-Only Count,1788.0,201.0,202.0,0.0,403.0,1385.0,1227.0,23.0,86.0,15.0,152.0,8.0,0.0,238.0,23.0,989.0,0.0,561.0,115.0,50.0,165.0,396.0,223.0,41.0,19.0,60.0,163.0,26.0,13.0,0.0,13.0,13.0,18.0,5.0,0.0,5.0,13.0,8.0,8.0,8.0,0.0,31.0,26.0,5.0,2012
FL-600,Miami-Dade County CoC,Sheltered and Unsheltered Count,3976.0,1713.0,1368.0,27.0,3108.0,868.0,2517.0,33.0,940.0,33.0,682.0,0.0,27.0,1649.0,33.0,868.0,0.0,1459.0,773.0,686.0,1459.0,0.0,427.0,230.0,197.0,427.0,0.0,601.0,200.0,27.0,227.0,374.0,586.0,185.0,27.0,212.0,374.0,15.0,15.0,15.0,0.0,265.0,163.0,102.0,2012
FL-601,Ft Lauderdale/Broward County CoC,Sheltered-Only Count,3183.0,774.0,1108.0,33.0,1915.0,1268.0,2627.0,36.0,578.0,14.0,779.0,16.0,33.0,1390.0,30.0,1237.0,6.0,556.0,196.0,329.0,525.0,31.0,172.0,60.0,100.0,160.0,12.0,760.0,318.0,26.0,344.0,416.0,750.0,312.0,26.0,338.0,412.0,10.0,6.0,6.0,4.0,370.0,149.0,221.0,2012
FL-602,Punta Gorda/Charlotte County CoC,Sheltered and Unsheltered Count,756.0,75.0,132.0,4.0,211.0,545.0,584.0,2.0,42.0,0.0,132.0,0.0,4.0,178.0,0.0,406.0,2.0,172.0,33.0,0.0,33.0,139.0,39.0,7.0,0.0,7.0,32.0,204.0,23.0,4.0,27.0,177.0,198.0,23.0,4.0,27.0,171.0,6.0,0.0,0.0,6.0,97.0,26.0,71.0,2012
FL-603,"Ft Myers, Cape Coral/Lee County CoC",Sheltered and Unsheltered Count,781.0,184.0,226.0,0.0,410.0,371.0,637.0,0.0,149.0,0.0,193.0,0.0,0.0,342.0,0.0,295.0,0.0,144.0,35.0,33.0,68.0,76.0,40.0,13.0,11.0,24.0,16.0,182.0,72.0,0.0,72.0,110.0,179.0,72.0,0.0,72.0,107.0,3.0,0.0,0.0,3.0,82.0,46.0,36.0,2012
FL-604,Monroe County CoC,Sheltered-Only Count,922.0,230.0,134.0,0.0,364.0,558.0,793.0,14.0,190.0,7.0,111.0,0.0,0.0,301.0,7.0,492.0,7.0,129.0,40.0,23.0,63.0,66.0,47.0,14.0,8.0,22.0,25.0,274.0,70.0,0.0,70.0,204.0,242.0,70.0,0.0,70.0,172.0,32.0,0.0,0.0,32.0,92.0,52.0,40.0,2012
FL-605,West Palm Beach/Palm Beach County CoC,Sheltered-Only Count,2116.0,350.0,353.0,16.0,719.0,1397.0,1667.0,14.0,194.0,8.0,225.0,1.0,16.0,435.0,9.0,1232.0,5.0,449.0,156.0,128.0,284.0,165.0,129.0,52.0,39.0,91.0,38.0,456.0,75.0,16.0,91.0,365.0,421.0,75.0,16.0,91.0,330.0,35.0,0.0,0.0,35.0,186.0,76.0,110.0,2012
FL-606,Naples/Collier County CoC,Sheltered-Only Count,455.0,211.0,139.0,0.0,350.0,105.0,300.0,1.0,154.0,1.0,41.0,0.0,0.0,195.0,1.0,105.0,0.0,155.0,57.0,98.0,155.0,0.0,43.0,18.0,25.0,43.0,0.0,41.0,28.0,0.0,28.0,13.0,40.0,27.0,0.0,27.0,13.0,1.0,1.0,1.0,0.0,25.0,16.0,9.0,2012
GA-500,Atlanta CoC,Sheltered-Only Count,6811.0,2315.0,2096.0,22.0,4433.0,2378.0,5458.0,15.0,1879.0,0.0,1221.0,15.0,22.0,3122.0,15.0,2336.0,0.0,1353.0,436.0,875.0,1311.0,42.0,576.0,213.0,348.0,561.0,15.0,1709.0,1076.0,6.0,1082.0,627.0,1365.0,743.0,6.0,749.0,616.0,344.0,333.0,333.0,11.0,1232.0,798.0,434.0,2012
GA-501,Georgia Balance of State CoC,Sheltered-Only Count,11105.0,1129.0,1121.0,0.0,2250.0,8855.0,7872.0,98.0,455.0,6.0,139.0,0.0,0.0,594.0,6.0,7278.0,92.0,3233.0,674.0,982.0,1656.0,1577.0,1016.0,214.0,303.0,517.0,499.0,1795.0,179.0,0.0,179.0,1616.0,1314.0,118.0,0.0,118.0,1196.0,481.0,61.0,61.0,420.0,850.0,141.0,709.0,2012
GA-503,Athens-Clarke County CoC,Sheltered and Unsheltered Count,361.0,54.0,84.0,0.0,138.0,223.0,273.0,0.0,44.0,0.0,14.0,0.0,0.0,58.0,0.0,215.0,0.0,88.0,10.0,70.0,80.0,8.0,28.0,5.0,20.0,25.0,3.0,71.0,21.0,0.0,21.0,50.0,71.0,21.0,0.0,21.0,50.0,0.0,0.0,0.0,0.0,29.0,9.0,20.0,2012
GA-504,Augusta-Richmond County CoC,Sheltered-Only Count,396.0,242.0,149.0,0.0,391.0,5.0,265.0,0.0,190.0,0.0,73.0,0.0,0.0,263.0,0.0,2.0,0.0,131.0,52.0,76.0,128.0,3.0,44.0,20.0,23.0,43.0,1.0,94.0,92.0,0.0,92.0,2.0,94.0,92.0,0.0,92.0,2.0,0.0,0.0,0.0,0.0,63.0,63.0,0.0,2012
GA-505,Columbus-Muscogee CoC,Sheltered and Unsheltered Count,333.0,224.0,54.0,0.0,278.0,55.0,236.0,2.0,143.0,2.0,54.0,0.0,0.0,197.0,2.0,39.0,0.0,97.0,81.0,0.0,81.0,16.0,29.0,24.0,0.0,24.0,5.0,29.0,21.0,0.0,21.0,8.0,29.0,21.0,0.0,21.0,8.0,0.0,0.0,0.0,0.0,34.0,29.0,5.0,2012
GA-506,Marietta/Cobb County CoC,Sheltered-Only Count,392.0,93.0,250.0,0.0,343.0,49.0,193.0,0.0,59.0,0.0,88.0,0.0,0.0,147.0,0.0,46.0,0.0,199.0,34.0,162.0,196.0,3.0,68.0,14.0,53.0,67.0,1.0,40.0,10.0,0.0,10.0,30.0,40.0,10.0,0.0,10.0,30.0,0.0,0.0,0.0,0.0,35.0,15.0,20.0,2012
GA-507,Savannah/Chatham County CoC,Sheltered and Unsheltered Count,1118.0,234.0,253.0,0.0,487.0,631.0,1066.0,4.0,208.0,4.0,227.0,0.0,0.0,435.0,4.0,631.0,0.0,52.0,26.0,26.0,52.0,0.0,18.0,8.0,10.0,18.0,0.0,105.0,21.0,0.0,21.0,84.0,103.0,19.0,0.0,19.0,84.0,2.0,2.0,2.0,0.0,54.0,39.0,15.0,2012
GU-500,Guam CoC,Sheltered and Unsheltered Count,1301.0,66.0,121.0,0.0,187.0,1114.0,255.0,6.0,26.0,5.0,39.0,1.0,0.0,65.0,6.0,190.0,0.0,1046.0,40.0,82.0,122.0,924.0,165.0,10.0,19.0,29.0,136.0,226.0,0.0,0.0,0.0,226.0,22.0,0.0,0.0,0.0,22.0,204.0,0.0,0.0,204.0,31.0,6.0,25.0,2012
HI-500,Hawaii Balance of State CoC,Sheltered and Unsheltered Count,1893.0,257.0,434.0,0.0,691.0,1202.0,1121.0,0.0,104.0,0.0,106.0,0.0,0.0,210.0,0.0,911.0,0.0,772.0,153.0,328.0,481.0,291.0,217.0,54.0,93.0,147.0,70.0,345.0,37.0,0.0,37.0,308.0,324.0,27.0,0.0,27.0,297.0,21.0,10.0,10.0,11.0,140.0,28.0,112.0,2012
HI-501,Honolulu City and County CoC,Sheltered and Unsheltered Count,4353.0,884.0,2126.0,25.0,3035.0,1318.0,2009.0,9.0,409.0,2.0,431.0,0.0,25.0,865.0,2.0,1144.0,7.0,2344.0,475.0,1695.0,2170.0,174.0,575.0,129.0,405.0,534.0,41.0,604.0,92.0,17.0,109.0,495.0,586.0,84.0,17.0,101.0,485.0,18.0,8.0,8.0,10.0,367.0,202.0,165.0,2012
IA-500,"Sioux City/Dakota, Woodbury Counties CoC",Sheltered and Unsheltered Count,250.0,100.0,133.0,0.0,233.0,17.0,119.0,0.0,74.0,0.0,28.0,0.0,0.0,102.0,0.0,17.0,0.0,131.0,26.0,105.0,131.0,0.0,47.0,9.0,38.0,47.0,0.0,46.0,44.0,0.0,44.0,2.0,35.0,33.0,0.0,33.0,2.0,11.0,11.0,11.0,0.0,10.0,8.0,2.0,2012
IA-501,Iowa Balance of State CoC,Sheltered and Unsheltered Count,1860.0,736.0,1067.0,0.0,1803.0,57.0,818.0,10.0,461.0,0.0,304.0,10.0,0.0,765.0,10.0,53.0,0.0,1042.0,275.0,763.0,1038.0,4.0,328.0,89.0,238.0,327.0,1.0,155.0,124.0,0.0,124.0,31.0,129.0,98.0,0.0,98.0,31.0,26.0,26.0,26.0,0.0,106.0,101.0,5.0,2012
IA-502,Des Moines/Polk County CoC,Sheltered and Unsheltered Count,818.0,328.0,416.0,0.0,744.0,74.0,509.0,1.0,221.0,0.0,214.0,1.0,0.0,435.0,1.0,74.0,0.0,309.0,107.0,202.0,309.0,0.0,91.0,34.0,57.0,91.0,0.0,106.0,50.0,0.0,50.0,56.0,106.0,50.0,0.0,50.0,56.0,0.0,0.0,0.0,0.0,101.0,96.0,5.0,2012
ID-500,Boise/Ada County CoC,Sheltered and Unsheltered Count,754.0,482.0,219.0,0.0,701.0,53.0,566.0,7.0,375.0,7.0,140.0,0.0,0.0,515.0,7.0,51.0,0.0,188.0,107.0,79.0,186.0,2.0,54.0,27.0,26.0,53.0,1.0,86.0,71.0,0.0,71.0,15.0,74.0,63.0,0.0,63.0,11.0,12.0,8.0,8.0,4.0,139.0,125.0,14.0,2012
ID-501,Idaho Balance of State CoC,Sheltered and Unsheltered Count,1214.0,288.0,493.0,0.0,781.0,433.0,609.0,6.0,142.0,0.0,130.0,0.0,0.0,272.0,0.0,337.0,6.0,605.0,146.0,363.0,509.0,96.0,192.0,47.0,116.0,163.0,29.0,166.0,40.0,0.0,40.0,126.0,126.0,27.0,0.0,27.0,99.0,40.0,13.0,13.0,27.0,121.0,59.0,62.0,2012
IL-500,McHenry County CoC,Sheltered-Only Count,196.0,60.0,133.0,0.0,193.0,3.0,123.0,0.0,60.0,0.0,60.0,0.0,0.0,120.0,0.0,3.0,0.0,73.0,0.0,73.0,73.0,0.0,23.0,0.0,23.0,23.0,0.0,43.0,43.0,0.0,43.0,0.0,43.0,43.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,57.0,57.0,0.0,2012
IL-501,"Rockford/DeKalb, Winnebago, Boone Counties CoC",Sheltered and Unsheltered Count,852.0,282.0,355.0,0.0,637.0,215.0,493.0,34.0,162.0,11.0,217.0,0.0,0.0,379.0,11.0,114.0,23.0,359.0,120.0,138.0,258.0,101.0,127.0,40.0,51.0,91.0,36.0,154.0,117.0,0.0,117.0,37.0,131.0,101.0,0.0,101.0,30.0,23.0,16.0,16.0,7.0,90.0,73.0,17.0,2012
IL-502,"Waukegan, North Chicago/Lake County CoC",Sheltered and Unsheltered Count,450.0,328.0,104.0,13.0,445.0,5.0,259.0,0.0,210.0,0.0,31.0,0.0,13.0,254.0,0.0,5.0,0.0,191.0,118.0,73.0,191.0,0.0,74.0,45.0,29.0,74.0,0.0,66.0,53.0,13.0,66.0,0.0,60.0,47.0,13.0,60.0,0.0,6.0,6.0,6.0,0.0,62.0,62.0,0.0,2012
IL-503,"Champaign, Urbana, Rantoul/Champaign County CoC",Sheltered-Only Count,209.0,42.0,141.0,0.0,183.0,26.0,134.0,8.0,42.0,5.0,75.0,3.0,0.0,117.0,8.0,17.0,0.0,75.0,0.0,66.0,66.0,9.0,26.0,0.0,22.0,22.0,4.0,25.0,2.0,0.0,2.0,23.0,19.0,2.0,0.0,2.0,17.0,6.0,0.0,0.0,6.0,25.0,25.0,0.0,2012
IL-504,Madison County CoC,Sheltered and Unsheltered Count,196.0,78.0,104.0,0.0,182.0,14.0,44.0,0.0,24.0,0.0,6.0,0.0,0.0,30.0,0.0,14.0,0.0,152.0,54.0,98.0,152.0,0.0,49.0,22.0,27.0,49.0,0.0,11.0,6.0,0.0,6.0,5.0,11.0,6.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,2012
IL-506,"Joliet, Bolingbrook/Will County CoC",Sheltered and Unsheltered Count,291.0,135.0,147.0,0.0,282.0,9.0,164.0,0.0,95.0,0.0,60.0,0.0,0.0,155.0,0.0,9.0,0.0,127.0,40.0,87.0,127.0,0.0,42.0,12.0,30.0,42.0,0.0,15.0,7.0,0.0,7.0,8.0,15.0,7.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,24.0,24.0,0.0,2012
IL-507,"Peoria, Pekin/Fulton, Tazewell, Peoria, Woodford Counties CoC",Sheltered-Only Count,376.0,238.0,129.0,0.0,367.0,9.0,220.0,0.0,158.0,0.0,56.0,0.0,0.0,214.0,0.0,6.0,0.0,156.0,80.0,73.0,153.0,3.0,48.0,23.0,24.0,47.0,1.0,48.0,47.0,0.0,47.0,1.0,48.0,47.0,0.0,47.0,1.0,0.0,0.0,0.0,0.0,22.0,21.0,1.0,2012
IL-508,"East St. Louis, Belleville/St. Clair County CoC",Sheltered and Unsheltered Count,451.0,59.0,107.0,0.0,166.0,285.0,193.0,0.0,12.0,0.0,36.0,0.0,0.0,48.0,0.0,145.0,0.0,258.0,47.0,71.0,118.0,140.0,73.0,17.0,25.0,42.0,31.0,70.0,4.0,0.0,4.0,66.0,38.0,2.0,0.0,2.0,36.0,32.0,2.0,2.0,30.0,67.0,46.0,21.0,2012
IL-510,Chicago CoC,Sheltered-Only Count,6710.0,1783.0,3165.0,40.0,4988.0,1722.0,4270.0,30.0,1506.0,0.0,1063.0,3.0,40.0,2609.0,3.0,1661.0,27.0,2440.0,277.0,2102.0,2379.0,61.0,770.0,90.0,650.0,740.0,30.0,1118.0,372.0,23.0,395.0,723.0,1112.0,372.0,23.0,395.0,717.0,6.0,0.0,0.0,6.0,520.0,270.0,250.0,2012
IL-511,Cook County CoC,Sheltered-Only Count,1242.0,430.0,564.0,15.0,1009.0,233.0,738.0,87.0,351.0,3.0,146.0,0.0,15.0,512.0,3.0,226.0,84.0,504.0,79.0,418.0,497.0,7.0,171.0,33.0,136.0,169.0,2.0,192.0,65.0,15.0,80.0,112.0,192.0,65.0,15.0,80.0,112.0,0.0,0.0,0.0,0.0,115.0,88.0,27.0,2012
IL-512,Bloomington/Central Illinois CoC,Sheltered-Only Count,668.0,291.0,140.0,21.0,452.0,216.0,361.0,1.0,221.0,1.0,30.0,0.0,21.0,272.0,1.0,89.0,0.0,307.0,70.0,110.0,180.0,127.0,89.0,21.0,29.0,50.0,39.0,60.0,39.0,10.0,49.0,11.0,60.0,39.0,10.0,49.0,11.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,2012
