CoC Number,CoC Name,Count Types,Overall Homeless,Sheltered ES Homeless,Sheltered TH Homeless,Sheltered Total Homeless,Unsheltered Homeless,Overall Homeless Individuals,Sheltered ES Homeless Individuals,Sheltered TH Homeless Individuals,Sheltered Total Homeless Individuals,Unsheltered Homeless Individuals,Overall Homeless People in Families,Sheltered ES Homeless People in Families,Sheltered TH Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Overall Homeless Family Households,Sheltered ES Homeless Family Households,Sheltered TH Homeless Family Households,Sheltered Total Homeless Family Households,Unsheltered Homeless Family Households,Overall Chronically Homeless Individuals,Sheltered ES Chronically Homeless Individuals,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Year
GA-501,Georgia Balance of State CoC,Sheltered and Unsheltered Count,9941.0,1100.0,1034.0,2134.0,7807.0,6379.0,494.0,209.0,703.0,5676.0,3562.0,606.0,825.0,1431.0,2131.0,1086.0,197.0,243.0,440.0,646.0,1306.0,201.0,201.0,1105.0,2009
GA-503,Athens-Clarke County CoC,Sheltered and Unsheltered Count,454.0,136.0,112.0,248.0,206.0,324.0,88.0,58.0,146.0,178.0,130.0,48.0,54.0,102.0,28.0,42.0,13.0,18.0,31.0,11.0,121.0,36.0,36.0,85.0,2009
GA-504,Augusta-Richmond County CoC,Sheltered and Unsheltered Count,556.0,236.0,276.0,512.0,44.0,405.0,193.0,191.0,384.0,21.0,151.0,43.0,85.0,128.0,23.0,51.0,10.0,24.0,34.0,17.0,142.0,142.0,142.0,0.0,2009
GA-505,Columbus-Muscogee CoC,Sheltered and Unsheltered Count,458.0,204.0,50.0,254.0,204.0,340.0,142.0,50.0,192.0,148.0,118.0,62.0,0.0,62.0,56.0,36.0,19.0,0.0,19.0,17.0,129.0,44.0,44.0,85.0,2009
GA-506,Marietta/Cobb County CoC,Sheltered and Unsheltered Count,480.0,148.0,206.0,354.0,126.0,267.0,80.0,64.0,144.0,123.0,213.0,68.0,142.0,210.0,3.0,75.0,22.0,52.0,74.0,1.0,135.0,38.0,38.0,97.0,2009
GA-507,Savannah/Chatham County CoC,Sheltered and Unsheltered Count,1452.0,638.0,424.0,1062.0,390.0,869.0,296.0,187.0,483.0,386.0,583.0,342.0,237.0,579.0,4.0,113.0,58.0,54.0,112.0,1.0,289.0,212.0,212.0,77.0,2009
GU-500,Guam CoC,Sheltered and Unsheltered Count,1088.0,67.0,115.0,182.0,906.0,391.0,24.0,28.0,52.0,339.0,697.0,43.0,87.0,130.0,567.0,168.0,13.0,19.0,32.0,136.0,87.0,19.0,19.0,68.0,2009
HI-500,Hawaii Balance of State CoC,Sheltered and Unsheltered Count,2144.0,258.0,565.0,823.0,1321.0,1129.0,73.0,164.0,237.0,892.0,1015.0,185.0,401.0,586.0,429.0,300.0,62.0,112.0,174.0,126.0,286.0,28.0,28.0,258.0,2009
HI-501,Honolulu City and County CoC,Sheltered and Unsheltered Count,3638.0,792.0,1653.0,2445.0,1193.0,1812.0,406.0,366.0,772.0,1040.0,1826.0,386.0,1287.0,1673.0,153.0,484.0,114.0,333.0,447.0,37.0,486.0,96.0,96.0,390.0,2009
IA-500,"Sioux City/Dakota, Woodbury Counties CoC",Sheltered and Unsheltered Count,289.0,129.0,130.0,259.0,30.0,146.0,107.0,22.0,129.0,17.0,143.0,22.0,108.0,130.0,13.0,46.0,8.0,33.0,41.0,5.0,74.0,59.0,59.0,15.0,2009
IA-501,Iowa Balance of State CoC,Sheltered and Unsheltered Count,1962.0,707.0,1184.0,1891.0,71.0,771.0,425.0,286.0,711.0,60.0,1191.0,282.0,898.0,1180.0,11.0,373.0,90.0,281.0,371.0,2.0,112.0,93.0,93.0,19.0,2009
IA-502,Des Moines/Polk County CoC,Sheltered and Unsheltered Count,1129.0,344.0,727.0,1071.0,58.0,738.0,239.0,445.0,684.0,54.0,391.0,105.0,282.0,387.0,4.0,113.0,30.0,81.0,111.0,2.0,120.0,86.0,86.0,34.0,2009
ID-500,Boise/Ada County CoC,Sheltered and Unsheltered Count,786.0,372.0,272.0,644.0,142.0,586.0,298.0,168.0,466.0,120.0,200.0,74.0,104.0,178.0,22.0,68.0,24.0,34.0,58.0,10.0,111.0,97.0,97.0,14.0,2009
ID-501,Idaho Balance of State CoC,Sheltered and Unsheltered Count,1153.0,259.0,574.0,833.0,320.0,531.0,134.0,221.0,355.0,176.0,622.0,125.0,353.0,478.0,144.0,212.0,42.0,120.0,162.0,50.0,99.0,60.0,60.0,39.0,2009
IL-500,McHenry County CoC,Sheltered and Unsheltered Count,257.0,125.0,122.0,247.0,10.0,153.0,75.0,68.0,143.0,10.0,104.0,50.0,54.0,104.0,0.0,33.0,17.0,16.0,33.0,0.0,45.0,39.0,39.0,6.0,2009
IL-501,"Rockford/DeKalb, Winnebago, Boone Counties CoC",Sheltered and Unsheltered Count,567.0,229.0,202.0,431.0,136.0,390.0,176.0,108.0,284.0,106.0,177.0,53.0,94.0,147.0,30.0,46.0,12.0,28.0,40.0,6.0,200.0,161.0,161.0,39.0,2009
IL-502,"Waukegan, North Chicago/Lake County CoC",Sheltered and Unsheltered Count,370.0,177.0,191.0,368.0,2.0,202.0,100.0,100.0,200.0,2.0,168.0,77.0,91.0,168.0,0.0,65.0,29.0,36.0,65.0,0.0,33.0,33.0,33.0,0.0,2009
IL-503,"Champaign, Urbana, Rantoul/Champaign County CoC",Sheltered and Unsheltered Count,534.0,404.0,126.0,530.0,4.0,209.0,128.0,77.0,205.0,4.0,325.0,276.0,49.0,325.0,0.0,124.0,111.0,13.0,124.0,0.0,47.0,47.0,47.0,0.0,2009
IL-504,Madison County CoC,Sheltered and Unsheltered Count,202.0,82.0,79.0,161.0,41.0,62.0,28.0,3.0,31.0,31.0,140.0,54.0,76.0,130.0,10.0,42.0,16.0,23.0,39.0,3.0,9.0,0.0,0.0,9.0,2009
IL-506,"Joliet, Bolingbrook/Will County CoC",Sheltered and Unsheltered Count,340.0,135.0,196.0,331.0,9.0,180.0,114.0,57.0,171.0,9.0,160.0,21.0,139.0,160.0,0.0,54.0,8.0,46.0,54.0,0.0,80.0,76.0,76.0,4.0,2009
IL-507,"Peoria, Pekin/Fulton, Tazewell, Peoria, Woodford Counties CoC",Sheltered and Unsheltered Count,397.0,191.0,139.0,330.0,67.0,276.0,130.0,79.0,209.0,67.0,121.0,61.0,60.0,121.0,0.0,42.0,20.0,22.0,42.0,0.0,133.0,127.0,127.0,6.0,2009
IL-508,"East St. Louis, Belleville/St. Clair County CoC",Sheltered and Unsheltered Count,536.0,146.0,96.0,242.0,294.0,261.0,36.0,10.0,46.0,215.0,275.0,110.0,86.0,196.0,79.0,92.0,32.0,26.0,58.0,34.0,60.0,30.0,30.0,30.0,2009
IL-510,Chicago CoC,Sheltered and Unsheltered Count,6240.0,1691.0,3665.0,5356.0,884.0,3342.0,1447.0,1101.0,2548.0,794.0,2898.0,244.0,2564.0,2808.0,90.0,883.0,75.0,786.0,861.0,22.0,689.0,416.0,416.0,273.0,2009
IL-511,Cook County CoC,Sheltered and Unsheltered Count,1378.0,451.0,676.0,1127.0,251.0,747.0,344.0,167.0,511.0,236.0,631.0,107.0,509.0,616.0,15.0,204.0,34.0,166.0,200.0,4.0,275.0,159.0,159.0,116.0,2009
IL-512,Bloomington/Central Illinois CoC,Sheltered and Unsheltered Count,515.0,313.0,169.0,482.0,33.0,214.0,173.0,17.0,190.0,24.0,301.0,140.0,152.0,292.0,9.0,88.0,40.0,45.0,85.0,3.0,58.0,51.0,51.0,7.0,2009
IL-513,Springfield/Sangamon County CoC,Sheltered and Unsheltered Count,257.0,123.0,125.0,248.0,9.0,152.0,106.0,44.0,150.0,2.0,105.0,17.0,81.0,98.0,7.0,36.0,6.0,29.0,35.0,1.0,96.0,96.0,96.0,0.0,2009
IL-514,DuPage County CoC,Sheltered and Unsheltered Count,695.0,184.0,403.0,587.0,108.0,350.0,149.0,102.0,251.0,99.0,345.0,35.0,301.0,336.0,9.0,121.0,13.0,105.0,118.0,3.0,182.0,83.0,83.0,99.0,2009
IL-515,South Central Illinois CoC,Sheltered and Unsheltered Count,329.0,135.0,99.0,234.0,95.0,52.0,20.0,12.0,32.0,20.0,277.0,115.0,87.0,202.0,75.0,87.0,37.0,28.0,65.0,22.0,19.0,8.0,8.0,11.0,2009
IL-516,Decatur/Macon County CoC,Sheltered and Unsheltered Count,176.0,83.0,67.0,150.0,26.0,110.0,61.0,23.0,84.0,26.0,66.0,22.0,44.0,66.0,0.0,19.0,7.0,12.0,19.0,0.0,33.0,33.0,33.0,0.0,2009
IL-517,"Aurora, Elgin/Kane County CoC",Sheltered and Unsheltered Count,445.0,269.0,123.0,392.0,53.0,333.0,223.0,57.0,280.0,53.0,112.0,46.0,66.0,112.0,0.0,32.0,12.0,20.0,32.0,0.0,188.0,155.0,155.0,33.0,2009
IL-518,"Rock Island, Moline/Northwestern Illinois CoC",Sheltered and Unsheltered Count,400.0,204.0,144.0,348.0,52.0,230.0,143.0,42.0,185.0,45.0,170.0,61.0,102.0,163.0,7.0,56.0,20.0,34.0,54.0,2.0,55.0,40.0,40.0,15.0,2009
IL-519,West Central Illinois CoC,Sheltered and Unsheltered Count,127.0,24.0,103.0,127.0,0.0,35.0,11.0,24.0,35.0,0.0,92.0,13.0,79.0,92.0,0.0,36.0,5.0,31.0,36.0,0.0,2.0,2.0,2.0,0.0,2009
IL-520,Southern Illinois CoC,Sheltered and Unsheltered Count,290.0,100.0,60.0,160.0,130.0,177.0,59.0,28.0,87.0,90.0,113.0,41.0,32.0,73.0,40.0,33.0,9.0,12.0,21.0,12.0,8.0,8.0,8.0,0.0,2009
IN-502,Indiana Balance of State CoC,Sheltered and Unsheltered Count,5530.0,2537.0,1402.0,3939.0,1591.0,3302.0,1383.0,636.0,2019.0,1283.0,2228.0,1154.0,766.0,1920.0,308.0,762.0,378.0,283.0,661.0,101.0,549.0,367.0,367.0,182.0,2009
IN-503,Indianapolis CoC,Sheltered and Unsheltered Count,1454.0,712.0,555.0,1267.0,187.0,849.0,311.0,357.0,668.0,181.0,605.0,401.0,198.0,599.0,6.0,213.0,140.0,71.0,211.0,2.0,216.0,138.0,138.0,78.0,2009
KS-502,Wichita/Sedgwick County CoC,Sheltered and Unsheltered Count,384.0,309.0,43.0,352.0,32.0,310.0,263.0,15.0,278.0,32.0,74.0,46.0,28.0,74.0,0.0,25.0,14.0,11.0,25.0,0.0,71.0,60.0,60.0,11.0,2009
KS-503,Topeka/Shawnee County CoC,Sheltered and Unsheltered Count,217.0,171.0,27.0,198.0,19.0,139.0,110.0,10.0,120.0,19.0,78.0,61.0,17.0,78.0,0.0,24.0,20.0,4.0,24.0,0.0,39.0,34.0,34.0,5.0,2009
KS-505,"Overland Park, Shawnee/Johnson County CoC",Sheltered and Unsheltered Count,210.0,130.0,36.0,166.0,44.0,58.0,42.0,3.0,45.0,13.0,152.0,88.0,33.0,121.0,31.0,48.0,27.0,11.0,38.0,10.0,8.0,5.0,5.0,3.0,2009
KS-507,Kansas Balance of State CoC,Sheltered and Unsheltered Count,859.0,461.0,339.0,800.0,59.0,593.0,291.0,256.0,547.0,46.0,266.0,170.0,83.0,253.0,13.0,85.0,53.0,28.0,81.0,4.0,77.0,68.0,68.0,9.0,2009
KY-500,Kentucky Balance of State CoC,Sheltered and Unsheltered Count,3174.0,1311.0,1377.0,2688.0,486.0,1279.0,678.0,264.0,942.0,337.0,1895.0,633.0,1113.0,1746.0,149.0,563.0,177.0,340.0,517.0,46.0,236.0,138.0,138.0,98.0,2009
KY-501,Louisville-Jefferson County CoC,Sheltered and Unsheltered Count,1515.0,849.0,512.0,1361.0,154.0,1147.0,740.0,259.0,999.0,148.0,368.0,109.0,253.0,362.0,6.0,134.0,37.0,95.0,132.0,2.0,247.0,174.0,174.0,73.0,2009
KY-502,Lexington-Fayette County CoC,Sheltered and Unsheltered Count,1310.0,485.0,765.0,1250.0,60.0,876.0,398.0,426.0,824.0,52.0,434.0,87.0,339.0,426.0,8.0,161.0,27.0,131.0,158.0,3.0,188.0,179.0,179.0,9.0,2009
LA-500,Lafayette/Acadiana CoC,Sheltered and Unsheltered Count,731.0,240.0,298.0,538.0,193.0,383.0,126.0,141.0,267.0,116.0,348.0,114.0,157.0,271.0,77.0,114.0,39.0,53.0,92.0,22.0,36.0,21.0,21.0,15.0,2009
LA-502,"Shreveport, Bossier/Northwest Louisiana CoC",Sheltered and Unsheltered Count,830.0,265.0,474.0,739.0,91.0,461.0,141.0,248.0,389.0,72.0,369.0,124.0,226.0,350.0,19.0,116.0,36.0,75.0,111.0,5.0,56.0,17.0,17.0,39.0,2009
LA-503,New Orleans/Jefferson Parish CoC,Sheltered and Unsheltered Count,8725.0,643.0,697.0,1340.0,7385.0,7957.0,526.0,337.0,863.0,7094.0,768.0,117.0,360.0,477.0,291.0,252.0,39.0,121.0,160.0,92.0,4579.0,146.0,146.0,4433.0,2009
LA-505,Monroe/Northeast Louisiana CoC,Sheltered and Unsheltered Count,228.0,75.0,112.0,187.0,41.0,93.0,51.0,18.0,69.0,24.0,135.0,24.0,94.0,118.0,17.0,38.0,7.0,26.0,33.0,5.0,19.0,9.0,9.0,10.0,2009
LA-506,Slidell/Southeast Louisiana CoC,Sheltered and Unsheltered Count,379.0,50.0,167.0,217.0,162.0,164.0,28.0,51.0,79.0,85.0,215.0,22.0,116.0,138.0,77.0,71.0,8.0,35.0,43.0,28.0,24.0,2.0,2.0,22.0,2009
LA-507,Alexandria/Central Louisiana CoC,Sheltered and Unsheltered Count,151.0,36.0,68.0,104.0,47.0,103.0,6.0,68.0,74.0,29.0,48.0,30.0,0.0,30.0,18.0,15.0,9.0,0.0,9.0,6.0,8.0,0.0,0.0,8.0,2009
LA-509,Louisiana Balance of State CoC,Sheltered and Unsheltered Count,1460.0,309.0,684.0,993.0,467.0,937.0,132.0,514.0,646.0,291.0,523.0,177.0,170.0,347.0,176.0,158.0,52.0,55.0,107.0,51.0,93.0,31.0,31.0,62.0,2009
MA-500,Boston CoC,Sheltered and Unsheltered Count,5101.0,3318.0,1564.0,4882.0,219.0,2663.0,1324.0,1120.0,2444.0,219.0,2438.0,1994.0,444.0,2438.0,0.0,845.0,675.0,170.0,845.0,0.0,817.0,662.0,662.0,155.0,2009
MA-501,"Holyoke/Franklin, Hampden, Hampshire Counties CoC",Sheltered and Unsheltered Count,1394.0,971.0,365.0,1336.0,58.0,482.0,118.0,306.0,424.0,58.0,912.0,853.0,59.0,912.0,0.0,265.0,240.0,25.0,265.0,0.0,83.0,44.0,44.0,39.0,2009
MA-502,Lynn CoC,Sheltered and Unsheltered Count,610.0,200.0,380.0,580.0,30.0,300.0,55.0,215.0,270.0,30.0,310.0,145.0,165.0,310.0,0.0,131.0,51.0,80.0,131.0,0.0,59.0,38.0,38.0,21.0,2009
MA-503,Cape Cod Islands CoC,Sheltered and Unsheltered Count,611.0,287.0,120.0,407.0,204.0,336.0,108.0,84.0,192.0,144.0,275.0,179.0,36.0,215.0,60.0,100.0,66.0,12.0,78.0,22.0,145.0,68.0,68.0,77.0,2009
MA-504,Springfield/Hampden County CoC,Sheltered and Unsheltered Count,774.0,495.0,267.0,762.0,12.0,307.0,201.0,94.0,295.0,12.0,467.0,294.0,173.0,467.0,0.0,175.0,107.0,68.0,175.0,0.0,81.0,72.0,72.0,9.0,2009
MA-505,New Bedford CoC,Sheltered and Unsheltered Count,510.0,130.0,278.0,408.0,102.0,409.0,63.0,248.0,311.0,98.0,101.0,67.0,30.0,97.0,4.0,45.0,33.0,11.0,44.0,1.0,43.0,43.0,43.0,0.0,2009
MA-506,Worcester City & County CoC,Sheltered and Unsheltered Count,1397.0,861.0,500.0,1361.0,36.0,518.0,306.0,182.0,488.0,30.0,879.0,555.0,318.0,873.0,6.0,316.0,198.0,116.0,314.0,2.0,120.0,100.0,100.0,20.0,2009
MA-507,"Pittsfield/Berkshire, Franklin, Hampshire Counties CoC",Sheltered and Unsheltered Count,286.0,53.0,138.0,191.0,95.0,204.0,35.0,127.0,162.0,42.0,82.0,18.0,11.0,29.0,53.0,40.0,9.0,5.0,14.0,26.0,39.0,21.0,21.0,18.0,2009
MA-509,Cambridge CoC,Sheltered and Unsheltered Count,637.0,455.0,139.0,594.0,43.0,303.0,179.0,81.0,260.0,43.0,334.0,276.0,58.0,334.0,0.0,129.0,105.0,24.0,129.0,0.0,155.0,112.0,112.0,43.0,2009
MA-511,"Quincy, Brockton, Weymouth, Plymouth City and County CoC",Sheltered and Unsheltered Count,1263.0,984.0,233.0,1217.0,46.0,367.0,268.0,53.0,321.0,46.0,896.0,716.0,180.0,896.0,0.0,320.0,246.0,74.0,320.0,0.0,145.0,116.0,116.0,29.0,2009
MA-515,Fall River CoC,Sheltered and Unsheltered Count,154.0,55.0,89.0,144.0,10.0,104.0,36.0,58.0,94.0,10.0,50.0,19.0,31.0,50.0,0.0,22.0,8.0,14.0,22.0,0.0,14.0,14.0,14.0,0.0,2009
MA-516,Massachusetts Balance of State CoC,Sheltered and Unsheltered Count,2603.0,1502.0,979.0,2481.0,122.0,996.0,346.0,528.0,874.0,122.0,1607.0,1156.0,451.0,1607.0,0.0,617.0,415.0,202.0,617.0,0.0,219.0,190.0,190.0,29.0,2009
MA-519,"Attleboro, Taunton/Bristol County CoC",Sheltered and Unsheltered Count,142.0,48.0,65.0,113.0,29.0,68.0,21.0,18.0,39.0,29.0,74.0,27.0,47.0,74.0,0.0,30.0,10.0,20.0,30.0,0.0,17.0,10.0,10.0,7.0,2009
MD-501,Baltimore CoC,Sheltered and Unsheltered Count,3419.0,896.0,1295.0,2191.0,1228.0,2484.0,664.0,1083.0,1747.0,737.0,935.0,232.0,212.0,444.0,491.0,359.0,93.0,70.0,163.0,196.0,853.0,625.0,625.0,228.0,2009
MD-503,Annapolis/Anne Arundel County CoC,Sheltered and Unsheltered Count,326.0,154.0,78.0,232.0,94.0,198.0,91.0,13.0,104.0,94.0,128.0,63.0,65.0,128.0,0.0,41.0,21.0,20.0,41.0,0.0,53.0,31.0,31.0,22.0,2009
MD-504,Howard County CoC,Sheltered and Unsheltered Count,180.0,100.0,33.0,133.0,47.0,88.0,43.0,0.0,43.0,45.0,92.0,57.0,33.0,90.0,2.0,30.0,21.0,8.0,29.0,1.0,58.0,17.0,17.0,41.0,2009
MD-505,Baltimore County CoC,Sheltered and Unsheltered Count,1520.0,924.0,190.0,1114.0,406.0,1179.0,707.0,130.0,837.0,342.0,341.0,217.0,60.0,277.0,64.0,131.0,84.0,22.0,106.0,25.0,76.0,52.0,52.0,24.0,2009
MD-506,Carroll County CoC,Sheltered and Unsheltered Count,151.0,69.0,54.0,123.0,28.0,116.0,44.0,54.0,98.0,18.0,35.0,25.0,0.0,25.0,10.0,12.0,8.0,0.0,8.0,4.0,29.0,21.0,21.0,8.0,2009
MD-511,Mid-Shore Regional CoC,Sheltered and Unsheltered Count,144.0,122.0,16.0,138.0,6.0,85.0,72.0,7.0,79.0,6.0,59.0,50.0,9.0,59.0,0.0,16.0,13.0,3.0,16.0,0.0,8.0,7.0,7.0,1.0,2009
MD-513,"Wicomico, Somerset, Worcester Counties CoC",Sheltered and Unsheltered Count,283.0,162.0,78.0,240.0,43.0,202.0,124.0,35.0,159.0,43.0,81.0,38.0,43.0,81.0,0.0,34.0,15.0,19.0,34.0,0.0,55.0,37.0,37.0,18.0,2009
MD-514,Maryland Balance of State CoC,,3575.0,753.0,631.0,1384.0,2191.0,1149.0,372.0,253.0,625.0,524.0,2426.0,381.0,378.0,759.0,1667.0,763.0,121.0,122.0,243.0,520.0,650.0,260.0,260.0,390.0,2009
MD-600,Prince George's County CoC,Sheltered and Unsheltered Count,853.0,348.0,423.0,771.0,82.0,419.0,167.0,170.0,337.0,82.0,434.0,181.0,253.0,434.0,0.0,121.0,53.0,68.0,121.0,0.0,107.0,57.0,57.0,50.0,2009
MD-601,Montgomery County CoC,Sheltered and Unsheltered Count,1247.0,677.0,443.0,1120.0,127.0,721.0,402.0,192.0,594.0,127.0,526.0,275.0,251.0,526.0,0.0,168.0,90.0,78.0,168.0,0.0,173.0,136.0,136.0,37.0,2009
ME-500,Maine Statewide CoC,Sheltered and Unsheltered Count,2444.0,843.0,1563.0,2406.0,38.0,1124.0,555.0,537.0,1092.0,32.0,1320.0,288.0,1026.0,1314.0,6.0,445.0,99.0,344.0,443.0,2.0,186.0,178.0,178.0,8.0,2009
MI-500,Michigan Balance of State CoC,Sheltered and Unsheltered Count,3021.0,939.0,1155.0,2094.0,927.0,1179.0,374.0,265.0,639.0,540.0,1842.0,565.0,890.0,1455.0,387.0,633.0,211.0,295.0,506.0,127.0,214.0,133.0,133.0,81.0,2009
MI-501,Detroit CoC,Sheltered and Unsheltered Count,3694.0,2058.0,1374.0,3432.0,262.0,2969.0,1751.0,956.0,2707.0,262.0,725.0,307.0,418.0,725.0,0.0,230.0,93.0,137.0,230.0,0.0,446.0,369.0,369.0,77.0,2009
MI-502,"Dearborn, Dearborn Heights, Westland/Wayne County CoC",Sheltered and Unsheltered Count,428.0,179.0,243.0,422.0,6.0,159.0,81.0,72.0,153.0,6.0,269.0,98.0,171.0,269.0,0.0,68.0,25.0,43.0,68.0,0.0,26.0,24.0,24.0,2.0,2009
MI-503,"St. Clair Shores, Warren/Macomb County CoC",Sheltered and Unsheltered Count,877.0,240.0,52.0,292.0,585.0,589.0,204.0,46.0,250.0,339.0,288.0,36.0,6.0,42.0,246.0,86.0,13.0,2.0,15.0,71.0,259.0,85.0,85.0,174.0,2009
MI-504,"Pontiac, Royal Oak/Oakland County CoC",Sheltered and Unsheltered Count,661.0,101.0,280.0,381.0,280.0,419.0,50.0,127.0,177.0,242.0,242.0,51.0,153.0,204.0,38.0,78.0,15.0,51.0,66.0,12.0,58.0,44.0,44.0,14.0,2009
MI-505,Flint/Genesee County CoC,Sheltered and Unsheltered Count,275.0,156.0,37.0,193.0,82.0,154.0,86.0,8.0,94.0,60.0,121.0,70.0,29.0,99.0,22.0,39.0,23.0,8.0,31.0,8.0,56.0,21.0,21.0,35.0,2009
MI-506,"Grand Rapids, Wyoming/Kent County CoC",Sheltered and Unsheltered Count,868.0,334.0,500.0,834.0,34.0,390.0,231.0,135.0,366.0,24.0,478.0,103.0,365.0,468.0,10.0,172.0,36.0,131.0,167.0,5.0,142.0,118.0,118.0,24.0,2009
MI-507,"Portage, Kalamazoo City & County CoC",Sheltered and Unsheltered Count,985.0,395.0,576.0,971.0,14.0,426.0,267.0,145.0,412.0,14.0,559.0,128.0,431.0,559.0,0.0,166.0,44.0,122.0,166.0,0.0,38.0,33.0,33.0,5.0,2009
MI-508,"Lansing, East Lansing/Ingham County CoC",Sheltered and Unsheltered Count,416.0,239.0,157.0,396.0,20.0,225.0,131.0,74.0,205.0,20.0,191.0,108.0,83.0,191.0,0.0,61.0,33.0,28.0,61.0,0.0,131.0,123.0,123.0,8.0,2009
MI-509,Washtenaw County CoC,Sheltered and Unsheltered Count,342.0,214.0,93.0,307.0,35.0,210.0,133.0,44.0,177.0,33.0,132.0,81.0,49.0,130.0,2.0,37.0,21.0,15.0,36.0,1.0,60.0,38.0,38.0,22.0,2009
MI-510,Saginaw City & County CoC,Sheltered and Unsheltered Count,305.0,111.0,167.0,278.0,27.0,176.0,61.0,88.0,149.0,27.0,129.0,50.0,79.0,129.0,0.0,43.0,22.0,21.0,43.0,0.0,71.0,57.0,57.0,14.0,2009
MI-511,Lenawee County CoC,Sheltered and Unsheltered Count,114.0,63.0,46.0,109.0,5.0,29.0,22.0,5.0,27.0,2.0,85.0,41.0,41.0,82.0,3.0,26.0,14.0,11.0,25.0,1.0,7.0,7.0,7.0,0.0,2009
MI-512,"Grand Traverse, Antrim, Leelanau Counties CoC",Sheltered and Unsheltered Count,281.0,108.0,171.0,279.0,2.0,133.0,96.0,35.0,131.0,2.0,148.0,12.0,136.0,148.0,0.0,62.0,5.0,57.0,62.0,0.0,21.0,19.0,19.0,2.0,2009
MI-514,Battle Creek/Calhoun County CoC,Sheltered and Unsheltered Count,238.0,98.0,87.0,185.0,53.0,176.0,62.0,66.0,128.0,48.0,62.0,36.0,21.0,57.0,5.0,21.0,14.0,6.0,20.0,1.0,59.0,59.0,59.0,0.0,2009
MI-515,Monroe City & County CoC,Sheltered and Unsheltered Count,140.0,50.0,86.0,136.0,4.0,75.0,29.0,45.0,74.0,1.0,65.0,21.0,41.0,62.0,3.0,30.0,9.0,20.0,29.0,1.0,17.0,16.0,16.0,1.0,2009
MI-516,"Norton Shores, Muskegon City & County CoC",Sheltered and Unsheltered Count,466.0,96.0,49.0,145.0,321.0,254.0,48.0,30.0,78.0,176.0,212.0,48.0,19.0,67.0,145.0,79.0,15.0,5.0,20.0,59.0,24.0,18.0,18.0,6.0,2009
MI-517,Jackson City & County CoC,Sheltered and Unsheltered Count,323.0,107.0,197.0,304.0,19.0,121.0,59.0,43.0,102.0,19.0,202.0,48.0,154.0,202.0,0.0,64.0,14.0,50.0,64.0,0.0,13.0,1.0,1.0,12.0,2009
MI-518,Livingston County CoC,Sheltered and Unsheltered Count,121.0,85.0,23.0,108.0,13.0,46.0,32.0,1.0,33.0,13.0,75.0,53.0,22.0,75.0,0.0,23.0,17.0,6.0,23.0,0.0,4.0,3.0,3.0,1.0,2009
MI-519,Holland/Ottawa County CoC,Sheltered and Unsheltered Count,299.0,93.0,204.0,297.0,2.0,113.0,62.0,49.0,111.0,2.0,186.0,31.0,155.0,186.0,0.0,56.0,10.0,46.0,56.0,0.0,3.0,3.0,3.0,0.0,2009
MI-523,Eaton County CoC,Sheltered and Unsheltered Count,151.0,59.0,76.0,135.0,16.0,14.0,4.0,2.0,6.0,8.0,137.0,55.0,74.0,129.0,8.0,38.0,18.0,17.0,35.0,3.0,0.0,0.0,0.0,0.0,2009
MN-500,Minneapolis/Hennepin County CoC,Sheltered and Unsheltered Count,3281.0,1920.0,1105.0,3025.0,256.0,1551.0,955.0,371.0,1326.0,225.0,1730.0,965.0,734.0,1699.0,31.0,495.0,267.0,219.0,486.0,9.0,775.0,670.0,670.0,105.0,2009
MN-501,Saint Paul/Ramsey County CoC,Sheltered and Unsheltered Count,1377.0,575.0,709.0,1284.0,93.0,693.0,389.0,215.0,604.0,89.0,684.0,186.0,494.0,680.0,4.0,239.0,66.0,172.0,238.0,1.0,233.0,181.0,181.0,52.0,2009
MN-502,Rochester/Southeast Minnesota CoC,Sheltered and Unsheltered Count,417.0,197.0,216.0,413.0,4.0,124.0,93.0,27.0,120.0,4.0,293.0,104.0,189.0,293.0,0.0,97.0,35.0,62.0,97.0,0.0,70.0,66.0,66.0,4.0,2009
MN-503,"Dakota, Anoka, Washington, Scott, Carver Counties",Sheltered and Unsheltered Count,840.0,286.0,447.0,733.0,107.0,196.0,67.0,64.0,131.0,65.0,644.0,219.0,383.0,602.0,42.0,207.0,72.0,120.0,192.0,15.0,72.0,48.0,48.0,24.0,2009
MN-504,Northeast Minnesota CoC,Sheltered and Unsheltered Count,210.0,31.0,89.0,120.0,90.0,69.0,19.0,8.0,27.0,42.0,141.0,12.0,81.0,93.0,48.0,45.0,4.0,28.0,32.0,13.0,35.0,12.0,12.0,23.0,2009
MN-505,St. Cloud/Central Minnesota CoC,Sheltered and Unsheltered Count,451.0,163.0,180.0,343.0,108.0,228.0,85.0,68.0,153.0,75.0,223.0,78.0,112.0,190.0,33.0,72.0,27.0,39.0,66.0,6.0,102.0,73.0,73.0,29.0,2009
MN-506,Northwest Minnesota CoC,Sheltered and Unsheltered Count,261.0,70.0,155.0,225.0,36.0,87.0,35.0,28.0,63.0,24.0,174.0,35.0,127.0,162.0,12.0,54.0,11.0,37.0,48.0,6.0,41.0,28.0,28.0,13.0,2009
