CoC Number,CoC Name,Count Types,Overall Homeless,Sheltered ES Homeless,Sheltered TH Homeless,Sheltered SH Homeless,Sheltered Total Homeless,Unsheltered Homeless,Overall Homeless Individuals,Overall Homeless Individuals - Under 18,Sheltered ES Homeless Individuals,Sheltered ES Homeless Individuals - Under 18,Sheltered TH Homeless Individuals,Sheltered TH Homeless Individuals - Under 18,Sheltered SH Homeless Individuals,Sheltered Total Homeless Individuals,Sheltered Total Homeless Individuals - Under 18,Unsheltered Homeless Individuals,Unsheltered Homeless Individuals - Under 18,Overall Homeless People in Families,Sheltered ES Homeless People in Families,Sheltered TH Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Overall Homeless Family Households,Sheltered ES Homeless Family Households,Sheltered TH Homeless Family Households,Sheltered Total Homeless Family Households,Unsheltered Homeless Family Households,Overall Chronically Homeless,Sheltered ES Chronically Homeless,Sheltered SH Chronically Homeless,Sheltered Total Chronically Homeless,Unsheltered Chronically Homeless,Overall Chronically Homeless Individuals,Sheltered ES Chronically Homeless Individuals,Sheltered SH Chronically Homeless Individuals,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Overall Chronically Homeless People in Families,Sheltered ES Chronically Homeless People in Families,Sheltered Total Chronically Homeless People in Families,Unsheltered Chronically Homeless People in Families,Overall Homeless Veterans,Sheltered Total Homeless Veterans,Unsheltered Homeless Veterans,Year
CA-613,Imperial County CoC,Sheltered and Unsheltered Count,508.0,131.0,63.0,0.0,194.0,314.0,398.0,30.0,84.0,11.0,0.0,0.0,0.0,84.0,11.0,314.0,19.0,110.0,47.0,63.0,110.0,0.0,39.0,19.0,20.0,39.0,0.0,16.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,2011.0
CA-614,San Luis Obispo County CoC,Sheltered and Unsheltered Count,2129.0,159.0,69.0,0.0,228.0,1901.0,1724.0,0.0,74.0,0.0,36.0,0.0,0.0,110.0,0.0,1614.0,0.0,405.0,85.0,33.0,118.0,287.0,162.0,38.0,16.0,54.0,108.0,556.0,68.0,0.0,68.0,488.0,339.0,38.0,0.0,38.0,301.0,217.0,30.0,30.0,187.0,271.0,60.0,211.0,2011.0
CO-500,Colorado Balance of State CoC,Sheltered and Unsheltered Count,9283.0,631.0,384.0,0.0,1015.0,8268.0,1615.0,304.0,237.0,0.0,58.0,0.0,0.0,295.0,0.0,1320.0,304.0,7668.0,394.0,326.0,720.0,6948.0,1918.0,99.0,82.0,181.0,1737.0,729.0,31.0,0.0,31.0,698.0,729.0,31.0,0.0,31.0,698.0,0.0,0.0,0.0,0.0,572.0,77.0,495.0,2011.0
CO-503,Metropolitan Denver CoC,Sheltered and Unsheltered Count,4809.0,1911.0,2341.0,25.0,4277.0,532.0,2200.0,143.0,1227.0,131.0,534.0,10.0,25.0,1786.0,141.0,414.0,2.0,2609.0,684.0,1807.0,2491.0,118.0,924.0,293.0,590.0,883.0,41.0,588.0,397.0,25.0,422.0,166.0,393.0,236.0,25.0,261.0,132.0,195.0,161.0,161.0,34.0,1322.0,1188.0,134.0,2011.0
CO-504,Colorado Springs/El Paso County CoC,Sheltered and Unsheltered Count,1024.0,437.0,417.0,0.0,854.0,170.0,731.0,1.0,338.0,1.0,232.0,0.0,0.0,570.0,1.0,161.0,0.0,293.0,99.0,185.0,284.0,9.0,93.0,31.0,59.0,90.0,3.0,178.0,96.0,0.0,96.0,82.0,166.0,84.0,0.0,84.0,82.0,12.0,12.0,12.0,0.0,180.0,116.0,64.0,2011.0
CT-503,"Bridgeport, Stamford, Norwalk, Danbury/Fairfield County CoC",Sheltered and Unsheltered Count,1005.0,577.0,267.0,0.0,844.0,161.0,737.0,2.0,446.0,2.0,142.0,0.0,0.0,588.0,2.0,149.0,0.0,268.0,131.0,125.0,256.0,12.0,90.0,42.0,43.0,85.0,5.0,277.0,204.0,0.0,204.0,73.0,273.0,200.0,0.0,200.0,73.0,4.0,4.0,4.0,0.0,88.0,74.0,14.0,2011.0
CT-505,Connecticut Balance of State CoC,Sheltered and Unsheltered Count,3451.0,1781.0,1136.0,0.0,2917.0,534.0,2334.0,0.0,1176.0,0.0,653.0,0.0,0.0,1829.0,0.0,505.0,0.0,1117.0,605.0,483.0,1088.0,29.0,392.0,217.0,163.0,380.0,12.0,822.0,565.0,0.0,565.0,257.0,770.0,513.0,0.0,513.0,257.0,52.0,52.0,52.0,0.0,355.0,322.0,33.0,2011.0
DC-500,District of Columbia CoC,Sheltered and Unsheltered Count,6546.0,3641.0,2600.0,0.0,6241.0,305.0,3858.0,26.0,2636.0,22.0,917.0,4.0,0.0,3553.0,26.0,305.0,0.0,2688.0,1005.0,1683.0,2688.0,0.0,858.0,326.0,532.0,858.0,0.0,2509.0,2234.0,0.0,2234.0,275.0,2093.0,1818.0,0.0,1818.0,275.0,416.0,416.0,416.0,0.0,515.0,490.0,25.0,2011.0
DE-500,Delaware Statewide CoC,Sheltered and Unsheltered Count,1035.0,549.0,454.0,10.0,1013.0,22.0,663.0,0.0,375.0,0.0,256.0,0.0,10.0,641.0,0.0,22.0,0.0,372.0,174.0,198.0,372.0,0.0,116.0,54.0,62.0,116.0,0.0,70.0,53.0,6.0,59.0,11.0,70.0,53.0,6.0,59.0,11.0,0.0,0.0,0.0,0.0,55.0,53.0,2.0,2011.0
FL-500,"Sarasota, Bradenton/Manatee, Sarasota Counties CoC",Sheltered and Unsheltered Count,1152.0,425.0,470.0,0.0,895.0,257.0,922.0,39.0,360.0,22.0,328.0,16.0,0.0,688.0,38.0,234.0,1.0,230.0,65.0,142.0,207.0,23.0,105.0,29.0,68.0,97.0,8.0,222.0,72.0,0.0,72.0,150.0,111.0,36.0,0.0,36.0,75.0,111.0,36.0,36.0,75.0,64.0,23.0,41.0,2011.0
FL-501,Tampa/Hillsborough County CoC,Sheltered and Unsheltered Count,7336.0,308.0,558.0,23.0,889.0,6447.0,4468.0,185.0,223.0,4.0,331.0,4.0,23.0,577.0,8.0,3891.0,177.0,2868.0,85.0,227.0,312.0,2556.0,812.0,34.0,68.0,102.0,710.0,679.0,33.0,15.0,48.0,631.0,679.0,33.0,15.0,48.0,631.0,0.0,0.0,0.0,0.0,792.0,97.0,695.0,2011.0
FL-502,"St. Petersburg, Clearwater, Largo/Pinellas County CoC",Sheltered and Unsheltered Count,3890.0,1150.0,681.0,39.0,1870.0,2020.0,2689.0,103.0,959.0,19.0,471.0,19.0,39.0,1469.0,38.0,1220.0,65.0,1201.0,191.0,210.0,401.0,800.0,373.0,84.0,90.0,174.0,199.0,466.0,124.0,39.0,163.0,303.0,458.0,124.0,39.0,163.0,295.0,8.0,0.0,0.0,8.0,431.0,313.0,118.0,2011.0
FL-503,"Lakeland, Winterhaven/Polk County CoC",Sheltered and Unsheltered Count,1100.0,240.0,258.0,0.0,498.0,602.0,933.0,0.0,186.0,0.0,145.0,0.0,0.0,331.0,0.0,602.0,0.0,167.0,54.0,113.0,167.0,0.0,53.0,15.0,38.0,53.0,0.0,32.0,11.0,0.0,11.0,21.0,32.0,11.0,0.0,11.0,21.0,0.0,0.0,0.0,0.0,78.0,46.0,32.0,2011.0
FL-504,"Deltona, Daytona Beach/Volusia, Flagler Counties CoC",Sheltered and Unsheltered Count,2210.0,111.0,424.0,0.0,535.0,1675.0,2015.0,0.0,101.0,0.0,239.0,0.0,0.0,340.0,0.0,1675.0,0.0,195.0,10.0,185.0,195.0,0.0,61.0,4.0,57.0,61.0,0.0,202.0,3.0,0.0,3.0,199.0,202.0,3.0,0.0,3.0,199.0,0.0,0.0,0.0,0.0,153.0,59.0,94.0,2011.0
FL-505,"Fort Walton Beach/Okaloosa, Walton Counties CoC",Sheltered and Unsheltered Count,2764.0,274.0,201.0,0.0,475.0,2289.0,827.0,33.0,214.0,24.0,151.0,8.0,0.0,365.0,32.0,462.0,1.0,1937.0,60.0,50.0,110.0,1827.0,546.0,21.0,18.0,39.0,507.0,367.0,183.0,0.0,183.0,184.0,333.0,176.0,0.0,176.0,157.0,34.0,7.0,7.0,27.0,246.0,124.0,122.0,2011.0
FL-506,Tallahassee/Leon County CoC,Sheltered and Unsheltered Count,787.0,366.0,362.0,0.0,728.0,59.0,609.0,10.0,284.0,10.0,266.0,0.0,0.0,550.0,10.0,59.0,0.0,178.0,82.0,96.0,178.0,0.0,68.0,31.0,37.0,68.0,0.0,112.0,94.0,0.0,94.0,18.0,110.0,92.0,0.0,92.0,18.0,2.0,2.0,2.0,0.0,63.0,60.0,3.0,2011.0
FL-507,"Orlando/Orange, Osceola, Seminole Counties CoC",Sheltered and Unsheltered Count,4515.0,890.0,1215.0,22.0,2127.0,2388.0,3135.0,2.0,601.0,0.0,616.0,2.0,22.0,1239.0,2.0,1896.0,0.0,1380.0,289.0,599.0,888.0,492.0,437.0,98.0,175.0,273.0,164.0,2363.0,548.0,19.0,567.0,1796.0,2284.0,518.0,19.0,537.0,1747.0,79.0,30.0,30.0,49.0,690.0,190.0,500.0,2011.0
FL-508,"Gainesville/Alachua, Putnam Counties CoC",Sheltered and Unsheltered Count,1179.0,270.0,169.0,0.0,439.0,740.0,969.0,27.0,206.0,19.0,119.0,6.0,0.0,325.0,25.0,644.0,2.0,210.0,64.0,50.0,114.0,96.0,73.0,21.0,19.0,40.0,33.0,363.0,76.0,0.0,76.0,287.0,350.0,70.0,0.0,70.0,280.0,13.0,6.0,6.0,7.0,331.0,197.0,134.0,2011.0
FL-509,"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",Sheltered and Unsheltered Count,1683.0,96.0,98.0,0.0,194.0,1489.0,609.0,12.0,27.0,8.0,18.0,0.0,0.0,45.0,8.0,564.0,4.0,1074.0,69.0,80.0,149.0,925.0,398.0,21.0,30.0,51.0,347.0,171.0,43.0,0.0,43.0,128.0,117.0,10.0,0.0,10.0,107.0,54.0,33.0,33.0,21.0,95.0,8.0,87.0,2011.0
FL-510,"Jacksonville-Duval, Clay Counties CoC",Sheltered and Unsheltered Count,3025.0,820.0,773.0,0.0,1593.0,1432.0,2377.0,47.0,576.0,0.0,369.0,42.0,0.0,945.0,42.0,1432.0,5.0,648.0,244.0,404.0,648.0,0.0,220.0,81.0,139.0,220.0,0.0,1104.0,756.0,0.0,756.0,348.0,1104.0,756.0,0.0,756.0,348.0,0.0,0.0,0.0,0.0,345.0,186.0,159.0,2011.0
FL-511,"Pensacola/Escambia, Santa Rosa Counties CoC",Sheltered and Unsheltered Count,733.0,105.0,350.0,0.0,455.0,278.0,590.0,21.0,75.0,0.0,264.0,21.0,0.0,339.0,21.0,251.0,0.0,143.0,30.0,86.0,116.0,27.0,43.0,6.0,28.0,34.0,9.0,200.0,71.0,0.0,71.0,129.0,193.0,70.0,0.0,70.0,123.0,7.0,1.0,1.0,6.0,158.0,52.0,106.0,2011.0
FL-512,St. Johns County CoC,Sheltered and Unsheltered Count,1391.0,80.0,110.0,0.0,190.0,1201.0,1004.0,0.0,52.0,0.0,12.0,0.0,0.0,64.0,0.0,940.0,0.0,387.0,28.0,98.0,126.0,261.0,99.0,9.0,32.0,41.0,58.0,75.0,0.0,0.0,0.0,75.0,75.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,41.0,6.0,35.0,2011.0
FL-513,"Palm Bay, Melbourne/Brevard County CoC",Sheltered and Unsheltered Count,1907.0,316.0,374.0,0.0,690.0,1217.0,1298.0,46.0,165.0,21.0,139.0,0.0,0.0,304.0,21.0,994.0,25.0,609.0,151.0,235.0,386.0,223.0,281.0,75.0,109.0,184.0,97.0,136.0,71.0,0.0,71.0,65.0,136.0,71.0,0.0,71.0,65.0,0.0,0.0,0.0,0.0,355.0,126.0,229.0,2011.0
FL-514,Ocala/Marion County CoC,Sheltered and Unsheltered Count,1032.0,156.0,276.0,0.0,432.0,600.0,961.0,47.0,138.0,25.0,229.0,22.0,0.0,367.0,47.0,594.0,0.0,71.0,18.0,47.0,65.0,6.0,22.0,6.0,13.0,19.0,3.0,122.0,37.0,0.0,37.0,85.0,122.0,37.0,0.0,37.0,85.0,0.0,0.0,0.0,0.0,144.0,23.0,121.0,2011.0
FL-515,"Panama City/Bay, Jackson Counties CoC",Sheltered and Unsheltered Count,411.0,156.0,140.0,0.0,296.0,115.0,320.0,0.0,127.0,0.0,98.0,0.0,0.0,225.0,0.0,95.0,0.0,91.0,29.0,42.0,71.0,20.0,39.0,13.0,18.0,31.0,8.0,68.0,46.0,0.0,46.0,22.0,61.0,39.0,0.0,39.0,22.0,7.0,7.0,7.0,0.0,46.0,24.0,22.0,2011.0
FL-517,"Hendry, Hardee, Highlands Counties CoC",Sheltered and Unsheltered Count,1319.0,0.0,114.0,0.0,114.0,1205.0,559.0,22.0,0.0,0.0,114.0,22.0,0.0,114.0,22.0,445.0,0.0,760.0,0.0,0.0,0.0,760.0,376.0,0.0,0.0,0.0,376.0,412.0,0.0,0.0,0.0,412.0,206.0,0.0,0.0,0.0,206.0,206.0,0.0,0.0,206.0,10.0,0.0,10.0,2011.0
FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",Sheltered and Unsheltered Count,1179.0,33.0,50.0,0.0,83.0,1096.0,792.0,11.0,7.0,6.0,45.0,0.0,0.0,52.0,6.0,740.0,5.0,387.0,26.0,5.0,31.0,356.0,155.0,11.0,2.0,13.0,142.0,236.0,7.0,0.0,7.0,229.0,184.0,4.0,0.0,4.0,180.0,52.0,3.0,3.0,49.0,244.0,27.0,217.0,2011.0
FL-519,Pasco County CoC,Sheltered and Unsheltered Count,4502.0,270.0,73.0,0.0,343.0,4159.0,1338.0,161.0,98.0,36.0,73.0,0.0,0.0,171.0,36.0,1167.0,125.0,3164.0,172.0,0.0,172.0,2992.0,1266.0,69.0,0.0,69.0,1197.0,1830.0,372.0,0.0,372.0,1458.0,1228.0,186.0,0.0,186.0,1042.0,602.0,186.0,186.0,416.0,140.0,65.0,75.0,2011.0
FL-520,"Citrus, Hernando, Lake, Sumter Counties CoC",Sheltered and Unsheltered Count,1715.0,138.0,192.0,0.0,330.0,1385.0,1192.0,17.0,73.0,10.0,130.0,7.0,0.0,203.0,17.0,989.0,0.0,523.0,65.0,62.0,127.0,396.0,210.0,24.0,23.0,47.0,163.0,23.0,10.0,0.0,10.0,13.0,23.0,10.0,0.0,10.0,13.0,0.0,0.0,0.0,0.0,35.0,30.0,5.0,2011.0
FL-600,Miami-Dade County CoC,Sheltered and Unsheltered Count,3817.0,1344.0,1668.0,16.0,3028.0,789.0,2468.0,33.0,817.0,33.0,846.0,0.0,16.0,1679.0,33.0,789.0,0.0,1349.0,527.0,822.0,1349.0,0.0,385.0,175.0,210.0,385.0,0.0,529.0,284.0,16.0,300.0,229.0,513.0,268.0,16.0,284.0,229.0,16.0,16.0,16.0,0.0,308.0,218.0,90.0,2011.0
FL-601,Ft Lauderdale/Broward County CoC,Sheltered and Unsheltered Count,3801.0,1005.0,1493.0,35.0,2533.0,1268.0,3247.0,27.0,840.0,14.0,1135.0,7.0,35.0,2010.0,21.0,1237.0,6.0,554.0,165.0,358.0,523.0,31.0,145.0,55.0,78.0,133.0,12.0,816.0,365.0,35.0,400.0,416.0,793.0,346.0,35.0,381.0,412.0,23.0,19.0,19.0,4.0,393.0,172.0,221.0,2011.0
FL-602,Punta Gorda/Charlotte County CoC,Sheltered and Unsheltered Count,828.0,67.0,123.0,2.0,192.0,636.0,738.0,152.0,46.0,0.0,108.0,0.0,2.0,156.0,0.0,582.0,152.0,90.0,21.0,15.0,36.0,54.0,37.0,7.0,3.0,10.0,27.0,193.0,25.0,2.0,27.0,166.0,125.0,4.0,2.0,6.0,119.0,68.0,21.0,21.0,47.0,100.0,44.0,56.0,2011.0
FL-603,"Ft Myers, Cape Coral/Lee County CoC",Sheltered and Unsheltered Count,969.0,205.0,308.0,0.0,513.0,456.0,750.0,0.0,160.0,0.0,271.0,0.0,0.0,431.0,0.0,319.0,0.0,219.0,45.0,37.0,82.0,137.0,69.0,16.0,18.0,34.0,35.0,206.0,91.0,0.0,91.0,115.0,189.0,85.0,0.0,85.0,104.0,17.0,6.0,6.0,11.0,88.0,51.0,37.0,2011.0
FL-604,Monroe County CoC,Sheltered and Unsheltered Count,904.0,225.0,121.0,0.0,346.0,558.0,798.0,22.0,208.0,15.0,98.0,0.0,0.0,306.0,15.0,492.0,7.0,106.0,17.0,23.0,40.0,66.0,41.0,7.0,9.0,16.0,25.0,261.0,57.0,0.0,57.0,204.0,226.0,54.0,0.0,54.0,172.0,35.0,3.0,3.0,32.0,96.0,56.0,40.0,2011.0
FL-605,West Palm Beach/Palm Beach County CoC,Sheltered and Unsheltered Count,2148.0,383.0,354.0,14.0,751.0,1397.0,1665.0,14.0,150.0,7.0,269.0,2.0,14.0,433.0,9.0,1232.0,5.0,483.0,233.0,85.0,318.0,165.0,140.0,70.0,32.0,102.0,38.0,423.0,44.0,14.0,58.0,365.0,382.0,38.0,14.0,52.0,330.0,41.0,6.0,6.0,35.0,181.0,71.0,110.0,2011.0
FL-606,Naples/Collier County CoC,Sheltered and Unsheltered Count,390.0,208.0,77.0,0.0,285.0,105.0,311.0,0.0,156.0,0.0,50.0,0.0,0.0,206.0,0.0,105.0,0.0,79.0,52.0,27.0,79.0,0.0,29.0,19.0,10.0,29.0,0.0,27.0,14.0,0.0,14.0,13.0,27.0,14.0,0.0,14.0,13.0,0.0,0.0,0.0,0.0,17.0,8.0,9.0,2011.0
GA-500,Atlanta CoC,Sheltered and Unsheltered Count,6805.0,2427.0,2000.0,0.0,4427.0,2378.0,5732.0,0.0,2023.0,0.0,1373.0,0.0,0.0,3396.0,0.0,2336.0,0.0,1073.0,404.0,627.0,1031.0,42.0,365.0,134.0,216.0,350.0,15.0,2372.0,1745.0,0.0,1745.0,627.0,2093.0,1477.0,0.0,1477.0,616.0,279.0,268.0,268.0,11.0,1237.0,803.0,434.0,2011.0
GA-501,Georgia Balance of State CoC,Sheltered and Unsheltered Count,11168.0,1119.0,1194.0,0.0,2313.0,8855.0,7989.0,92.0,548.0,0.0,163.0,0.0,0.0,711.0,0.0,7278.0,92.0,3179.0,571.0,1031.0,1602.0,1577.0,1066.0,205.0,362.0,567.0,499.0,1761.0,145.0,0.0,145.0,1616.0,1341.0,145.0,0.0,145.0,1196.0,420.0,0.0,0.0,420.0,758.0,49.0,709.0,2011.0
GA-503,Athens-Clarke County CoC,Sheltered and Unsheltered Count,407.0,174.0,104.0,0.0,278.0,129.0,296.0,0.0,140.0,0.0,27.0,0.0,0.0,167.0,0.0,129.0,0.0,111.0,34.0,77.0,111.0,0.0,31.0,10.0,21.0,31.0,0.0,86.0,35.0,0.0,35.0,51.0,83.0,32.0,0.0,32.0,51.0,3.0,3.0,3.0,0.0,27.0,16.0,11.0,2011.0
GA-504,Augusta-Richmond County CoC,Sheltered and Unsheltered Count,497.0,165.0,327.0,0.0,492.0,5.0,291.0,0.0,146.0,0.0,143.0,0.0,0.0,289.0,0.0,2.0,0.0,206.0,19.0,184.0,203.0,3.0,55.0,9.0,45.0,54.0,1.0,82.0,80.0,0.0,80.0,2.0,82.0,80.0,0.0,80.0,2.0,0.0,0.0,0.0,0.0,69.0,69.0,0.0,2011.0
GA-505,Columbus-Muscogee CoC,Sheltered and Unsheltered Count,486.0,197.0,64.0,0.0,261.0,225.0,378.0,0.0,137.0,0.0,56.0,0.0,0.0,193.0,0.0,185.0,0.0,108.0,60.0,8.0,68.0,40.0,36.0,20.0,3.0,23.0,13.0,105.0,57.0,0.0,57.0,48.0,105.0,57.0,0.0,57.0,48.0,0.0,0.0,0.0,0.0,64.0,39.0,25.0,2011.0
GA-506,Marietta/Cobb County CoC,Sheltered and Unsheltered Count,370.0,76.0,245.0,0.0,321.0,49.0,188.0,0.0,51.0,0.0,91.0,0.0,0.0,142.0,0.0,46.0,0.0,182.0,25.0,154.0,179.0,3.0,60.0,11.0,48.0,59.0,1.0,37.0,7.0,0.0,7.0,30.0,37.0,7.0,0.0,7.0,30.0,0.0,0.0,0.0,0.0,40.0,20.0,20.0,2011.0
GA-507,Savannah/Chatham County CoC,Sheltered and Unsheltered Count,1242.0,325.0,306.0,0.0,631.0,611.0,1101.0,11.0,256.0,11.0,234.0,0.0,0.0,490.0,11.0,611.0,0.0,141.0,69.0,72.0,141.0,0.0,48.0,21.0,27.0,48.0,0.0,138.0,43.0,0.0,43.0,95.0,138.0,43.0,0.0,43.0,95.0,0.0,0.0,0.0,0.0,48.0,29.0,19.0,2011.0
GU-500,Guam CoC,Sheltered and Unsheltered Count,1745.0,67.0,137.0,0.0,204.0,1541.0,279.0,0.0,10.0,0.0,26.0,0.0,0.0,36.0,0.0,243.0,0.0,1466.0,57.0,111.0,168.0,1298.0,250.0,14.0,25.0,39.0,211.0,370.0,0.0,0.0,0.0,370.0,25.0,0.0,0.0,0.0,25.0,345.0,0.0,0.0,345.0,33.0,7.0,26.0,2011.0
HI-500,Hawaii Balance of State CoC,Sheltered and Unsheltered Count,1954.0,279.0,441.0,0.0,720.0,1234.0,1196.0,4.0,119.0,0.0,104.0,0.0,0.0,223.0,0.0,973.0,4.0,758.0,160.0,337.0,497.0,261.0,217.0,45.0,91.0,136.0,81.0,366.0,40.0,0.0,40.0,326.0,348.0,36.0,0.0,36.0,312.0,18.0,4.0,4.0,14.0,173.0,25.0,148.0,2011.0
HI-501,Honolulu City and County CoC,Sheltered and Unsheltered Count,4234.0,797.0,2090.0,25.0,2912.0,1322.0,1999.0,3.0,408.0,3.0,421.0,0.0,25.0,854.0,3.0,1145.0,0.0,2235.0,389.0,1669.0,2058.0,177.0,558.0,105.0,409.0,514.0,44.0,569.0,57.0,19.0,76.0,493.0,556.0,56.0,19.0,75.0,481.0,13.0,1.0,1.0,12.0,332.0,185.0,147.0,2011.0
IA-500,"Sioux City/Dakota, Woodbury Counties CoC",Sheltered and Unsheltered Count,366.0,160.0,177.0,0.0,337.0,29.0,167.0,0.0,105.0,0.0,44.0,0.0,0.0,149.0,0.0,18.0,0.0,199.0,55.0,133.0,188.0,11.0,66.0,16.0,45.0,61.0,5.0,106.0,91.0,0.0,91.0,15.0,88.0,73.0,0.0,73.0,15.0,18.0,18.0,18.0,0.0,25.0,21.0,4.0,2011.0
IA-501,Iowa Balance of State CoC,Sheltered and Unsheltered Count,1782.0,667.0,1087.0,0.0,1754.0,28.0,777.0,25.0,423.0,9.0,326.0,16.0,0.0,749.0,25.0,28.0,0.0,1005.0,244.0,761.0,1005.0,0.0,318.0,80.0,238.0,318.0,0.0,114.0,103.0,0.0,103.0,11.0,104.0,93.0,0.0,93.0,11.0,10.0,10.0,10.0,0.0,121.0,116.0,5.0,2011.0
IA-502,Des Moines/Polk County CoC,Sheltered and Unsheltered Count,986.0,352.0,570.0,0.0,922.0,64.0,684.0,16.0,237.0,13.0,383.0,3.0,0.0,620.0,16.0,64.0,0.0,302.0,115.0,187.0,302.0,0.0,88.0,34.0,54.0,88.0,0.0,131.0,90.0,0.0,90.0,41.0,123.0,82.0,0.0,82.0,41.0,8.0,8.0,8.0,0.0,121.0,118.0,3.0,2011.0
ID-500,Boise/Ada County CoC,Sheltered and Unsheltered Count,838.0,483.0,258.0,0.0,741.0,97.0,630.0,6.0,377.0,5.0,158.0,0.0,0.0,535.0,5.0,95.0,1.0,208.0,106.0,100.0,206.0,2.0,76.0,37.0,38.0,75.0,1.0,139.0,114.0,0.0,114.0,25.0,125.0,104.0,0.0,104.0,21.0,14.0,10.0,10.0,4.0,135.0,120.0,15.0,2011.0
ID-501,Idaho Balance of State CoC,Sheltered and Unsheltered Count,1361.0,314.0,530.0,0.0,844.0,517.0,680.0,1.0,171.0,0.0,135.0,0.0,0.0,306.0,0.0,374.0,1.0,681.0,143.0,395.0,538.0,143.0,221.0,55.0,126.0,181.0,40.0,169.0,35.0,0.0,35.0,134.0,111.0,25.0,0.0,25.0,86.0,58.0,10.0,10.0,48.0,115.0,49.0,66.0,2011.0
IL-500,McHenry County CoC,Sheltered and Unsheltered Count,182.0,57.0,122.0,0.0,179.0,3.0,113.0,0.0,53.0,0.0,57.0,0.0,0.0,110.0,0.0,3.0,0.0,69.0,4.0,65.0,69.0,0.0,25.0,2.0,23.0,25.0,0.0,33.0,33.0,0.0,33.0,0.0,33.0,33.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,51.0,51.0,0.0,2011.0
IL-501,"Rockford/DeKalb, Winnebago, Boone Counties CoC",Sheltered and Unsheltered Count,740.0,246.0,322.0,0.0,568.0,172.0,418.0,20.0,143.0,0.0,174.0,19.0,0.0,317.0,19.0,101.0,1.0,322.0,103.0,148.0,251.0,71.0,109.0,31.0,53.0,84.0,25.0,247.0,195.0,0.0,195.0,52.0,247.0,195.0,0.0,195.0,52.0,0.0,0.0,0.0,0.0,71.0,65.0,6.0,2011.0
IL-502,"Waukegan, North Chicago/Lake County CoC",Sheltered and Unsheltered Count,464.0,324.0,128.0,9.0,461.0,3.0,269.0,0.0,221.0,0.0,36.0,0.0,9.0,266.0,0.0,3.0,0.0,195.0,103.0,92.0,195.0,0.0,78.0,39.0,39.0,78.0,0.0,64.0,55.0,9.0,64.0,0.0,59.0,50.0,9.0,59.0,0.0,5.0,5.0,5.0,0.0,60.0,60.0,0.0,2011.0
IL-503,"Champaign, Urbana, Rantoul/Champaign County CoC",Sheltered and Unsheltered Count,231.0,5.0,200.0,0.0,205.0,26.0,87.0,5.0,5.0,4.0,65.0,1.0,0.0,70.0,5.0,17.0,0.0,144.0,0.0,135.0,135.0,9.0,69.0,0.0,65.0,65.0,4.0,52.0,29.0,0.0,29.0,23.0,46.0,29.0,0.0,29.0,17.0,6.0,0.0,0.0,6.0,23.0,23.0,0.0,2011.0
IL-504,Madison County CoC,Sheltered and Unsheltered Count,256.0,100.0,107.0,0.0,207.0,49.0,98.0,0.0,53.0,0.0,3.0,0.0,0.0,56.0,0.0,42.0,0.0,158.0,47.0,104.0,151.0,7.0,47.0,13.0,32.0,45.0,2.0,19.0,2.0,0.0,2.0,17.0,14.0,2.0,0.0,2.0,12.0,5.0,0.0,0.0,5.0,6.0,3.0,3.0,2011.0
IL-506,"Joliet, Bolingbrook/Will County CoC",Sheltered and Unsheltered Count,353.0,130.0,190.0,0.0,320.0,33.0,191.0,0.0,96.0,0.0,62.0,0.0,0.0,158.0,0.0,33.0,0.0,162.0,34.0,128.0,162.0,0.0,54.0,10.0,44.0,54.0,0.0,46.0,34.0,0.0,34.0,12.0,38.0,26.0,0.0,26.0,12.0,8.0,8.0,8.0,0.0,20.0,18.0,2.0,2011.0
IL-507,"Peoria, Pekin/Fulton, Tazewell, Peoria, Woodford Counties CoC",Sheltered and Unsheltered Count,313.0,194.0,110.0,0.0,304.0,9.0,194.0,1.0,127.0,1.0,61.0,0.0,0.0,188.0,1.0,6.0,0.0,119.0,67.0,49.0,116.0,3.0,40.0,24.0,15.0,39.0,1.0,74.0,73.0,0.0,73.0,1.0,74.0,73.0,0.0,73.0,1.0,0.0,0.0,0.0,0.0,26.0,25.0,1.0,2011.0
IL-508,"East St. Louis, Belleville/St. Clair County CoC",Sheltered and Unsheltered Count,370.0,80.0,105.0,0.0,185.0,185.0,176.0,0.0,17.0,0.0,37.0,0.0,0.0,54.0,0.0,122.0,0.0,194.0,63.0,68.0,131.0,63.0,69.0,22.0,24.0,46.0,23.0,124.0,63.0,0.0,63.0,61.0,64.0,37.0,0.0,37.0,27.0,60.0,26.0,26.0,34.0,31.0,18.0,13.0,2011.0
